"days","degdays","subj","taxa","counts","fracBySubjDay"
0,0,"A1","Aerococcaceae",1083,0.0247316738981503
0,0,"A1","Aspergillaceae",2205,0.0503539620918018
0,0,"A1","Bacillaceae",200,0.00456725279744234
0,0,"A1","Brevibacteriaceae",1107,0.0252797442338433
0,0,"A1","Carnobacteriaceae",424,0.00968257593057776
0,0,"A1","Clostridiaceae",2581,0.0589403973509934
0,0,"A1","Coleoptera",6,0.00013701758392327
0,0,"A1","Collembola",4,9.13450559488468e-05
0,0,"A1","Comamonadaceae",172,0.00392783740580041
0,0,"A1","Corynebacteriaceae",1127,0.0257364695135876
0,0,"A1","Debaryomycetaceae",1319,0.0301210321991322
0,0,"A1","Dermabacteraceae",808,0.018451701301667
0,0,"A1","Didymellaceae",36,0.000822105503539621
0,0,"A1","Dietziaceae",353,0.00806120118748573
0,0,"A1","Dipodascaceae",9,0.000205526375884905
0,0,"A1","Diptera",589,0.0134505594884677
0,0,"A1","Enterobacteriaceae",88,0.00200959123087463
0,0,"A1","Enterococcaceae",500,0.0114181319936058
0,0,"A1","Flavobacteriaceae",342,0.0078100022836264
0,0,"A1","Intrasporangiaceae",279,0.00637131765243206
0,0,"A1","Lachnospiraceae",461,0.0105275176981046
0,0,"A1","Lactobacillaceae",719,0.0164192738068052
0,0,"A1","Lichtheimiaceae",599,0.0136789221283398
0,0,"A1","Micrococcaceae",307,0.00701073304407399
0,0,"A1","Moraxellaceae",954,0.0217857958438
0,0,"A1","Mucoraceae",648,0.0147978990637132
0,0,"A1","Paraprevotellaceae",457,0.0104361726421557
0,0,"A1","Peptostreptococcaceae",122,0.00278602420643983
0,0,"A1","Peronosporomycetes",577,0.0131765243206211
0,0,"A1","Phaeosphaeriaceae",15,0.000342543959808175
0,0,"A1","Pichiaceae",571,0.0130395067366979
0,0,"A1","Planococcaceae",729,0.0166476364466773
0,0,"A1","Poales",1644,0.037542817994976
0,0,"A1","Porphyromonadaceae",74,0.00168988353505367
0,0,"A1","Prevotellaceae",259,0.00591459237268783
0,0,"A1","Pseudomonadaceae",405,0.00924868691482074
0,0,"A1","Rare",7787,0.177825987668418
0,0,"A1","Rhabditida",1975,0.0451016213747431
0,0,"A1","Ruminococcaceae",714,0.0163050924868691
0,0,"A1","Saccharomycetaceae",1898,0.0433432290477278
0,0,"A1","Saccharomycodaceae",0,0
0,0,"A1","Sphingobacteriaceae",184,0.00420187257364695
0,0,"A1","Staphylococcaceae",816,0.0186343914135647
0,0,"A1","Streptococcaceae",330,0.00753596711577986
0,0,"A1","Streptomycetaceae",0,0
0,0,"A1","Tissierellaceae",1140,0.0260333409454213
0,0,"A1","Trichosporonaceae",3095,0.0706782370404202
0,0,"A1","Trichostomatia",2902,0.0662708380908883
0,0,"A1","Turicibacteraceae",273,0.00623430006850879
0,0,"A1","Veillonellaceae",296,0.00675953414021466
0,0,"A1","Weeksellaceae",389,0.00888330669102535
0,0,"A1","Xanthomonadaceae",218,0.00497830554921215
0,0,"A2","Aerococcaceae",1003,0.0219609388684533
0,0,"A2","Aspergillaceae",393,0.0086048344718865
0,0,"A2","Bacillaceae",374,0.0081888246628131
0,0,"A2","Brevibacteriaceae",802,0.017559992993519
0,0,"A2","Carnobacteriaceae",1107,0.0242380451918024
0,0,"A2","Clostridiaceae",4944,0.108250131371519
0,0,"A2","Coleoptera",21,0.000459800315291645
0,0,"A2","Collembola",0,0
0,0,"A2","Comamonadaceae",569,0.0124583990190927
0,0,"A2","Corynebacteriaceae",1623,0.0355359957961114
0,0,"A2","Debaryomycetaceae",318,0.00696269048870205
0,0,"A2","Dermabacteraceae",1043,0.0228367489928184
0,0,"A2","Didymellaceae",0,0
0,0,"A2","Dietziaceae",1007,0.0220485198808898
0,0,"A2","Dipodascaceae",1,2.18952531091259e-05
0,0,"A2","Diptera",304,0.00665615694517429
0,0,"A2","Enterobacteriaceae",92,0.00201436328603959
0,0,"A2","Enterococcaceae",342,0.00748817656332107
0,0,"A2","Flavobacteriaceae",886,0.0193991942546856
0,0,"A2","Intrasporangiaceae",447,0.0097871781397793
0,0,"A2","Lachnospiraceae",677,0.0148230863548783
0,0,"A2","Lactobacillaceae",541,0.0118453319320371
0,0,"A2","Lichtheimiaceae",40,0.000875810124365038
0,0,"A2","Micrococcaceae",1049,0.0229681205114731
0,0,"A2","Moraxellaceae",4399,0.096317218427045
0,0,"A2","Mucoraceae",182,0.00398493606586092
0,0,"A2","Paraprevotellaceae",606,0.0132685233841303
0,0,"A2","Peptostreptococcaceae",152,0.00332807847258714
0,0,"A2","Peronosporomycetes",5,0.00010947626554563
0,0,"A2","Phaeosphaeriaceae",0,0
