"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,43.9787722222222,-43.9787722222222
0,"A1","A2",0,41.2591,-41.2591
0,"A1","A3",0,37.6456666666667,-37.6456666666667
0,"A1","A4",0,36.8707888888889,-36.8707888888889
0,"A1","A5",0,51.9395,-51.9395
0,"A1","A6",0,53.3455777777778,-53.3455777777778
0,"A1","A1",27,39.5899611111111,-12.5899611111111
0,"A1","A1",57,54.59925,2.40075000000002
0,"A1","A1",87,70.9880055555555,16.0119944444445
0,"A1","A1",149,196.162155555555,-47.162155555555
0,"A1","A1",326,321.378427777778,4.6215722222222
0,"A1","A1",390,361.850811111111,28.1491888888889
0,"A1","A1",448,369.290411111111,78.7095888888888
0,"A2","A1",0,45.3543222222222,-45.3543222222222
0,"A2","A2",0,40.2951777777778,-40.2951777777778
0,"A2","A3",0,38.0158222222222,-38.0158222222222
0,"A2","A4",0,42.5359222222222,-42.5359222222222
0,"A2","A5",0,56.4282166666667,-56.4282166666667
0,"A2","A6",0,54.7885055555555,-54.7885055555555
0,"A2","A2",27,40.6265222222222,-13.6265222222222
0,"A2","A2",57,78.0669444444444,-21.0669444444444
0,"A2","A2",87,103.240877777778,-16.2408777777777
0,"A2","A2",149,193.346633333333,-44.3466333333326
0,"A2","A2",209,259.495005555555,-50.4950055555552
0,"A2","A2",267,266.509961111111,0.49003888888933
0,"A2","A2",326,313.143572222222,12.8564277777782
0,"A2","A2",390,342.136111111111,47.863888888889
0,"A2","A2",448,317.316594444445,130.683405555555
0,"A3","A1",0,52.4004555555555,-52.4004555555555
0,"A3","A2",0,39.3056,-39.3056
0,"A3","A3",0,37.2737666666667,-37.2737666666667
0,"A3","A4",0,40.2016166666667,-40.2016166666667
0,"A3","A5",0,50.9118055555556,-50.9118055555556
0,"A3","A6",0,50.1231222222222,-50.1231222222222
0,"A3","A3",27,53.1904944444444,-26.1904944444444
0,"A3","A3",57,76.8687444444444,-19.8687444444444
0,"A3","A3",87,115.801638888889,-28.801638888889
0,"A3","A3",149,230.040955555555,-81.0409555555551
0,"A3","A3",209,250.4112,-41.4111999999998
0,"A3","A3",267,287.720577777778,-20.7205777777776
0,"A3","A3",326,302.499311111111,23.5006888888888
0,"A3","A3",390,399.221816666667,-9.22181666666683
0,"A3","A3",448,401.477833333334,46.5221666666664
0,"A4","A1",0,46.3975444444444,-46.3975444444444
0,"A4","A2",0,39.4272,-39.4272
0,"A4","A3",0,37.2893333333333,-37.2893333333333
0,"A4","A4",0,35.8864666666667,-35.8864666666667
0,"A4","A5",0,47.3342444444444,-47.3342444444444
0,"A4","A6",0,53.5922111111111,-53.5922111111111
0,"A4","A4",27,68.7438222222221,-41.7438222222221
0,"A4","A4",57,71.7224333333332,-14.7224333333332
0,"A4","A4",87,105.395738888889,-18.3957388888889
0,"A4","A4",149,254.833888888889,-105.833888888889
0,"A4","A4",267,289.897988888889,-22.8979888888886
0,"A4","A4",326,214.256177777778,111.743822222222
0,"A4","A4",390,226.2699,163.7301
0,"A4","A4",448,333.925805555556,114.074194444444
0,"A5","A1",0,39.8693333333333,-39.8693333333333
0,"A5","A2",0,38.5430333333333,-38.5430333333333
0,"A5","A3",0,38.4185666666667,-38.4185666666667
0,"A5","A4",0,38.1330388888889,-38.1330388888889
0,"A5","A5",0,48.6484833333333,-48.6484833333333
0,"A5","A6",0,51.4174666666667,-51.4174666666667
0,"A5","A5",27,35.5575222222222,-8.55752222222222
0,"A5","A5",57,83.5872277777777,-26.5872277777777
0,"A5","A5",87,229.197494444444,-142.197494444444
0,"A5","A5",149,205.616272222222,-56.616272222222
0,"A5","A5",209,234.144838888888,-25.1448388888884
0,"A5","A5",267,312.679333333333,-45.6793333333332
0,"A5","A5",326,321.209605555556,4.79039444444436
0,"A5","A5",390,332.015516666666,57.9844833333336
0,"A5","A5",448,349.571855555556,98.4281444444444
0,"A6","A1",0,49.5425277777778,-49.5425277777778
0,"A6","A2",0,40.7736222222222,-40.7736222222222
0,"A6","A3",0,36.8556777777778,-36.8556777777778
0,"A6","A4",0,37.4677888888889,-37.4677888888889
0,"A6","A5",0,53.9959277777778,-53.9959277777778
0,"A6","A6",0,55.3431222222222,-55.3431222222222
0,"A6","A6",27,47.1333888888889,-20.1333888888889
0,"A6","A6",57,58.8280277777778,-1.82802777777778
0,"A6","A6",87,109.843416666667,-22.8434166666666
0,"A6","A6",149,197.939388888889,-48.9393888888887
0,"A6","A6",209,259.370577777778,-50.3705777777777
0,"A6","A6",267,232.231794444444,34.7682055555558
0,"A6","A6",326,337.578988888889,-11.5789888888889
0,"A6","A6",390,305.520738888889,84.4792611111112
0,"A6","A6",448,376.917488888889,71.0825111111108
27,"A1","A1",0,36.5758722222222,-36.5758722222222
27,"A1","A1",27,31.2272833333333,-4.22728333333333
27,"A1","A2",27,35.9540944444444,-8.95409444444444
27,"A1","A3",27,42.3891611111111,-15.3891611111111
27,"A1","A4",27,61.3338333333333,-34.3338333333333
27,"A1","A5",27,25.3098388888889,1.69016111111111
27,"A1","A6",27,44.5637666666667,-17.5637666666667
27,"A1","A1",57,35.8316777777778,21.1683222222222
27,"A1","A1",87,68.1012111111111,18.8987888888889
27,"A1","A1",149,200.137422222222,-51.1374222222217
27,"A1","A1",326,316.772483333333,9.22751666666676
27,"A1","A1",390,359.858027777778,30.1419722222218
27,"A1","A1",448,370.080955555555,77.9190444444446
27,"A2","A2",0,19.1490722222222,-19.1490722222222
27,"A2","A1",27,30.1748166666667,-3.17481666666666
27,"A2","A2",27,32.4030722222222,-5.40307222222223
27,"A2","A3",27,37.1573111111111,-10.1573111111111
27,"A2","A4",27,60.2872611111111,-33.2872611111111
27,"A2","A5",27,19.5192222222222,7.48077777777776
27,"A2","A6",27,39.5149388888889,-12.5149388888889
27,"A2","A2",57,66.1804611111111,-9.18046111111109
27,"A2","A2",87,99.66505,-12.66505
27,"A2","A2",149,189.470744444444,-40.4707444444442
27,"A2","A2",209,261.630694444445,-52.6306944444446
27,"A2","A2",267,264.345044444444,2.65495555555589
27,"A2","A2",326,316.182483333333,9.81751666666685
27,"A2","A2",390,344.087283333333,45.9127166666667
27,"A2","A2",448,314.684755555556,133.315244444444
27,"A3","A3",0,23.8260777777778,-23.8260777777778
27,"A3","A1",27,34.4957444444444,-7.49574444444444
27,"A3","A2",27,31.3485333333333,-4.34853333333333
27,"A3","A3",27,41.2332222222222,-14.2332222222222
27,"A3","A4",27,67.0914333333333,-40.0914333333333
27,"A3","A5",27,21.0825444444445,5.91745555555553
27,"A3","A6",27,43.6079722222222,-16.6079722222222
27,"A3","A3",57,83.2652055555555,-26.2652055555555
27,"A3","A3",87,113.898905555556,-26.8989055555556
27,"A3","A3",149,231.951061111111,-82.951061111111
27,"A3","A3",209,256.789755555555,-47.7897555555554
27,"A3","A3",267,291.467283333333,-24.4672833333329
27,"A3","A3",326,302.445327777778,23.5546722222223
27,"A3","A3",390,397.623477777777,-7.6234777777774
27,"A3","A3",448,397.631911111111,50.368088888889
27,"A4","A4",0,15.6748555555556,-15.6748555555556
27,"A4","A1",27,33.0224333333333,-6.02243333333332
27,"A4","A2",27,28.1231944444444,-1.12319444444444
27,"A4","A3",27,39.7780555555555,-12.7780555555555
27,"A4","A4",27,61.8418555555555,-34.8418555555555
27,"A4","A5",27,16.257,10.743
27,"A4","A6",27,38.3553833333333,-11.3553833333333
27,"A4","A4",57,62.1207277777777,-5.12072777777774
27,"A4","A4",87,99.5672666666666,-12.5672666666666
27,"A4","A4",149,251.074005555555,-102.074005555555
27,"A4","A4",267,285.964022222222,-18.9640222222221
27,"A4","A4",326,214.506633333333,111.493366666667
27,"A4","A4",390,219.118888888889,170.881111111111
27,"A4","A4",448,330.821083333333,117.178916666667
27,"A5","A5",0,19.0398722222222,-19.0398722222222
27,"A5","A1",27,29.5823111111111,-2.58231111111109
27,"A5","A2",27,28.4883388888889,-1.48833888888887
27,"A5","A3",27,35.7081222222222,-8.70812222222219
27,"A5","A4",27,60.9586777777778,-33.9586777777778
27,"A5","A5",27,17.8815944444445,9.11840555555552
27,"A5","A6",27,40.3776055555555,-13.3776055555555
27,"A5","A5",57,86.6642222222222,-29.6642222222222
27,"A5","A5",87,229.177222222222,-142.177222222222
27,"A5","A5",149,203.817388888889,-54.8173888888887
27,"A5","A5",209,235.944816666666,-26.9448166666664
27,"A5","A5",267,311.201872222223,-44.2018722222226
27,"A5","A5",326,319.104494444445,6.89550555555508
27,"A5","A5",390,329.334711111111,60.6652888888885
27,"A5","A5",448,347.207127777779,100.792872222221
27,"A6","A6",0,36.7663555555555,-36.7663555555555
27,"A6","A1",27,32.6760166666667,-5.67601666666666
27,"A6","A2",27,32.7495055555556,-5.74950555555555
27,"A6","A3",27,39.4649333333333,-12.4649333333333
27,"A6","A4",27,62.4913222222222,-35.4913222222222
27,"A6","A5",27,21.5714777777778,5.42852222222221
27,"A6","A6",27,41.8459055555556,-14.8459055555556
27,"A6","A6",57,53.3094833333333,3.69051666666669
27,"A6","A6",87,100.716855555556,-13.7168555555556
27,"A6","A6",149,199.780788888889,-50.7807888888885
27,"A6","A6",209,264.303761111111,-55.3037611111111
27,"A6","A6",267,232.042861111111,34.9571388888892
27,"A6","A6",326,339.919111111111,-13.9191111111111
27,"A6","A6",390,311.77165,78.2283499999998
27,"A6","A6",448,380.544833333333,67.4551666666665
57,"A1","A1",0,25.6637722222222,-25.6637722222222
57,"A1","A1",27,25.30855,1.69145000000001
57,"A1","A1",57,28.4153833333333,28.5846166666667
57,"A1","A2",57,65.2166333333333,-8.21663333333328
57,"A1","A3",57,102.42075,-45.42075
57,"A1","A4",57,57.0134888888888,-0.013488888888844
57,"A1","A5",57,84.0548833333332,-27.0548833333332
57,"A1","A6",57,58.9078055555556,-1.90780555555556
57,"A1","A1",87,91.5536277777777,-4.55362777777771
57,"A1","A1",149,198.990627777777,-49.9906277777772
57,"A1","A1",326,316.822216666667,9.17778333333291
57,"A1","A1",390,358.426188888889,31.5738111111108
