numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
900,18,2882.0272693336124,0.1382807545129415
1500,18,2879.78378873708,0.13817063161986004
2100,18,2873.70153605255,0.13789939564012005
2400,18,2880.140234090205,0.13820141832352742
3e3,18,2875.4902159433877,0.13799125219783032
900,19,2861.956251508281,0.1376142109943933
1500,19,2863.211480780301,0.13756390541560756
2100,19,2862.9581817786634,0.13761904091812463
2400,19,2863.9646619549294,0.13768023906071214
3e3,19,2858.0339023924716,0.13729585719355109
900,20,2857.5645163173413,0.1375069162866621
1500,20,2857.164330901282,0.13752729469114003
2100,20,2852.9049747414297,0.13729745422108536
2400,20,2850.2355427939938,0.13715739023617526
3e3,20,2850.520515348702,0.137218127513687
900,21,2853.486385797422,0.13757723590323573
1500,21,2854.413061135761,0.13760211738608186
2100,21,2847.343989742212,0.13729194730811362
2400,21,2853.515971537381,0.13756529428022557
3e3,21,2849.7287686084223,0.13739036199450694
900,22,2857.1113690401817,0.13804408462616158
1500,22,2860.104676130294,0.1381182715220471
2100,22,2858.761851167758,0.1380459065379666
2400,22,2854.4566205641513,0.13775878505036418
3e3,22,2850.6726580618856,0.13762102334819917
900,23,2869.737908109252,0.13871798947427108
1500,23,2866.4685007769535,0.13863955494333952
2100,23,2869.051297505278,0.13869488900778654
2400,23,2868.748348418152,0.13867953495030658
3e3,23,2869.249817252324,0.13873276832046286
900,24,2892.997913272906,0.14010930470742541
1500,24,2890.0488579069047,0.13988208492552598
2100,24,2884.9473612394318,0.13963574200212323
2400,24,2888.05294596261,0.13978264715470595
3e3,24,2885.2865569503706,0.1396164034143707
