numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
900,12,33850.67588623727,0.11483965314656783
1200,12,33893.58469610755,0.11500694696528431
1500,12,33813.45467879132,0.11467389524669995
2100,12,33873.76415315888,0.11490889736460341
3e3,12,33786.081714821434,0.11459765707606348
900,13,33815.30290212984,0.11480370381747161
1200,13,33804.284683937825,0.11474904358112685
1500,13,33828.01061594702,0.11487199413681119
2100,13,33756.95125799754,0.11460316665456256
3e3,13,33798.38561099093,0.11478430359694855
900,14,33842.806401691276,0.11505327646457572
1200,14,33788.29620543159,0.11481795127357994
1500,14,33768.215773504584,0.11484891273164123
2100,14,33799.71076935698,0.11489572883516691
3e3,14,33800.99513252478,0.11489513321408151
900,15,33857.989560312664,0.1151890202366561
1200,15,33791.58551560875,0.11498337234260615
1500,15,33830.28010224229,0.11512549683820346
2100,15,33737.81624329511,0.11475921992072931
3e3,15,33750.489799588184,0.1148686099956518
900,16,33885.324282983485,0.11550935668496547
1200,16,33882.62263574131,0.11541879591605293
1500,16,33860.43745334779,0.11537568318218029
2100,16,33827.97288538782,0.1152273112362691
3e3,16,33812.26714269061,0.11516308863392874
