numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
900,3,4711.793506057142,0.22458172825724187
1500,3,4717.873252658843,0.2247100829311689
2100,3,4708.094077140349,0.22396567392224304
2400,3,4706.325747958628,0.22392616110059643
3e3,3,4707.540013563091,0.2241763030967848
900,6,3910.554061096305,0.18597868130164066
1500,6,3901.8975001468393,0.18551586859877392
2100,6,3898.3705812486555,0.1854601647290669
2400,6,3891.8288677317755,0.1851732253556066
3e3,6,3892.805854722355,0.18515363572053764
900,9,3487.7192861311332,0.166018800359197
1500,9,3483.7241814034483,0.16585012267375282
2100,9,3485.4511441873456,0.16596810270340687
2400,9,3489.9005965704805,0.16626066726870464
3e3,9,3483.7720878274745,0.1659003127265002
900,12,3214.146487348978,0.15347511456481883
1500,12,3212.6591279753534,0.1533508750163844
2100,12,3214.6530257166323,0.1534793636521502
2400,12,3212.059549103847,0.15350526428848585
3e3,12,3212.93406308776,0.15340089066292587
900,15,3053.800958794732,0.14636855895142684
1500,15,3045.474243728542,0.14606809241337693
2100,15,3042.4413482598297,0.1459356041870017
2400,15,3037.594253126227,0.1456685242230421
3e3,15,3040.7378025680473,0.14573059215087975
900,18,2951.073918017726,0.142174457262163
1500,18,2949.84810609868,0.14216380689214558
2100,18,2954.854465001909,0.142341093595437
2400,18,2952.824382492696,0.14223076979459506
3e3,18,2950.4824343397777,0.142130130291106
900,21,2938.9295342183987,0.14225885625956688
1500,21,2938.3750361914285,0.14225826334967145
2100,21,2936.2395206181627,0.14204831684223973
2400,21,2936.926400694696,0.14216195916747934
3e3,21,2938.5938792380935,0.14218178680776808
900,24,2990.0304876677546,0.14513240585355983
1500,24,2988.2703375320843,0.14514260674731283
2100,24,2985.0187981278445,0.14492778588292146
2400,24,2989.0922559618775,0.1451664568620469
3e3,24,2987.4205489186716,0.14505843073367336
900,27,3096.6531425501403,0.15080302939799717
1500,27,3087.3023319482786,0.1503553932371358
2100,27,3092.92555271083,0.150623257342717
2400,27,3094.7759962132136,0.1506918359405419
3e3,27,3093.761619478654,0.15062025486843664
