"days","degdays","subj","taxa","counts","fracBySubjDay"
0,0,"A1","Actinomycetales",8037,0.146832066647179
0,0,"A1","Bacillales",1923,0.0351322712657118
0,0,"A1","Bacillariophytina",578,0.010559777842736
0,0,"A1","Bacteroidales",2304,0.042092955276235
0,0,"A1","Bifidobacteriales",179,0.00327024261911722
0,0,"A1","Burkholderiales",262,0.00478661210172464
0,0,"A1","Caulobacterales",47,0.000858667056416253
0,0,"A1","Clostridiales",6179,0.112887313650979
0,0,"A1","Coleoptera",6,0.000109617071031862
0,0,"A1","Collembola",4,7.30780473545747e-05
0,0,"A1","Conthreep",896,0.0163694826074247
0,0,"A1","Diptera",589,0.0107607424729611
0,0,"A1","Enterobacteriales",88,0.00160771704180064
0,0,"A1","Eurotiales",2218,0.0405217772581117
0,0,"A1","Fabales",23,0.000420198772288804
0,0,"A1","Filobasidiales",749,0.0136838643671441
0,0,"A1","Flavobacteriales",763,0.0139396375328851
0,0,"A1","Fusobacteriales",0,0
0,0,"A1","Gregarinasina",1,1.82695118386437e-05
0,0,"A1","JG30_KF_CM45",609,0.011126132709734
0,0,"A1","Lactobacillales",3153,0.0576037708272435
0,0,"A1","Liliopsida",1653,0.030199503069278
0,0,"A1","Litostomatea",2913,0.053219087985969
0,0,"A1","Mucorales",1336,0.0244080678164279
0,0,"A1","Peronosporomycetes",577,0.0105415083308974
0,0,"A1","Pleosporales",265,0.00484142063724057
0,0,"A1","Pseudomonadales",1359,0.0248282665887168
0,0,"A1","Rare",5110,0.0933572054954692
0,0,"A1","Rhabditida",1975,0.0360822858813213
0,0,"A1","Rhizobiales",341,0.00622990353697749
0,0,"A1","Rhodobacterales",130,0.00237503653902368
0,0,"A1","Rhodospirillales",8,0.000146156094709149
0,0,"A1","Saccharomycetales",6522,0.119153756211634
0,0,"A1","Sphingobacteriales",184,0.00336159017831044
0,0,"A1","Sporidiobolales",160,0.00292312189418299
0,0,"A1","Streptophyta",3,5.4808535515931e-05
0,0,"A1","Trichosporonales",3095,0.0565441391406022
0,0,"A1","Turicibacterales",273,0.00498757673194972
0,0,"A1","Ustilaginales",6,0.000109617071031862
0,0,"A1","Xanthomonadales",218,0.00398275358082432
0,0,"A2","Actinomycetales",13075,0.233236411637739
0,0,"A2","Bacillales",3114,0.0555486184198791
0,0,"A2","Bacillariophytina",3,5.35150466472823e-05
0,0,"A2","Bacteroidales",2355,0.0420093116181166
0,0,"A2","Bifidobacteriales",233,0.00415633528960559
0,0,"A2","Burkholderiales",810,0.0144490625947662
0,0,"A2","Caulobacterales",414,0.00738507643732496
0,0,"A2","Clostridiales",10711,0.19106655487968
0,0,"A2","Coleoptera",21,0.000374605326530976
0,0,"A2","Collembola",0,0
0,0,"A2","Conthreep",64,0.00114165432847536
0,0,"A2","Diptera",304,0.00542285806025794
0,0,"A2","Enterobacteriales",92,0.00164112809718332
0,0,"A2","Eurotiales",394,0.00702830945967641
0,0,"A2","Fabales",16,0.000285413582118839
0,0,"A2","Filobasidiales",255,0.004548778965019
0,0,"A2","Flavobacteriales",5781,0.103123494889313
0,0,"A2","Fusobacteriales",15,0.000267575233236412
0,0,"A2","Gregarinasina",0,0
0,0,"A2","JG30_KF_CM45",497,0.00886565939456644
0,0,"A2","Lactobacillales",3379,0.0602757808737223
0,0,"A2","Liliopsida",69,0.00123084607288749
0,0,"A2","Litostomatea",680,0.0121300772400507
0,0,"A2","Mucorales",252,0.00449526391837172
0,0,"A2","Peronosporomycetes",5,8.91917444121372e-05
0,0,"A2","Pleosporales",167,0.00297900426336538
0,0,"A2","Pseudomonadales",4461,0.0795768743645088
0,0,"A2","Rare",1470,0.0262223728571683
0,0,"A2","Rhabditida",1869,0.0333398740612569
0,0,"A2","Rhizobiales",756,0.0134857917551151
0,0,"A2","Rhodobacterales",648,0.011559250075813
0,0,"A2","Rhodospirillales",6,0.000107030093294565
0,0,"A2","Saccharomycetales",985,0.017570773649191
0,0,"A2","Sphingobacteriales",1382,0.0246525981555147
0,0,"A2","Sporidiobolales",28,0.000499473768707968
0,0,"A2","Streptophyta",0,0
0,0,"A2","Trichosporonales",755,0.0134679534062327
0,0,"A2","Turicibacterales",460,0.00820564048591662
0,0,"A2","Ustilaginales",0,0
0,0,"A2","Xanthomonadales",533,0.00950783995433383
0,0,"A3","Actinomycetales",29445,0.262608695652174
0,0,"A3","Bacillales",8222,0.0733288740245262
0,0,"A3","Bacillariophytina",0,0
0,0,"A3","Bacteroidales",5409,0.0482408026755853
0,0,"A3","Bifidobacteriales",792,0.00706354515050167
0,0,"A3","Burkholderiales",750,0.00668896321070234
0,0,"A3","Caulobacterales",216,0.00192642140468227
0,0,"A3","Clostridiales",21736,0.193855072463768
0,0,"A3","Coleoptera",3,2.67558528428094e-05
0,0,"A3","Collembola",0,0
0,0,"A3","Conthreep",113,0.00100780379041249
0,0,"A3","Diptera",1023,0.00912374581939799
0,0,"A3","Enterobacteriales",273,0.00243478260869565
0,0,"A3","Eurotiales",1441,0.0128517279821628
0,0,"A3","Fabales",35,0.000312151616499443
0,0,"A3","Filobasidiales",937,0.00835674470457079
0,0,"A3","Flavobacteriales",2410,0.0214938684503902
0,0,"A3","Fusobacteriales",13,0.000115942028985507
0,0,"A3","Gregarinasina",0,0
0,0,"A3","JG30_KF_CM45",1450,0.0129319955406912
0,0,"A3","Lactobacillales",10612,0.094644370122631
0,0,"A3","Liliopsida",256,0.00228316610925307
0,0,"A3","Litostomatea",8236,0.073453734671126
0,0,"A3","Mucorales",702,0.00626086956521739
0,0,"A3","Peronosporomycetes",0,0
0,0,"A3","Pleosporales",90,0.000802675585284281
0,0,"A3","Pseudomonadales",4197,0.0374314381270903
0,0,"A3","Rare",3016,0.0268985507246377
0,0,"A3","Rhabditida",2336,0.0208338907469342
0,0,"A3","Rhizobiales",1068,0.00952508361204013
0,0,"A3","Rhodobacterales",266,0.00237235228539576
0,0,"A3","Rhodospirillales",15,0.000133779264214047
0,0,"A3","Saccharomycetales",2274,0.0202809364548495
0,0,"A3","Sphingobacteriales",513,0.0045752508361204
0,0,"A3","Sporidiobolales",93,0.00082943143812709
0,0,"A3","Streptophyta",3,2.67558528428094e-05
0,0,"A3","Trichosporonales",2563,0.0228584169453735
0,0,"A3","Turicibacterales",947,0.00844593088071349
0,0,"A3","Ustilaginales",0,0
0,0,"A3","Xanthomonadales",670,0.00597547380156076
0,0,"A4","Actinomycetales",17903,0.226875847473736
0,0,"A4","Bacillales",4922,0.0623740669868586
0,0,"A4","Bacillariophytina",0,0
0,0,"A4","Bacteroidales",3193,0.0404633067633156
0,0,"A4","Bifidobacteriales",419,0.00530977937169723
0,0,"A4","Burkholderiales",784,0.00993524350217333
0,0,"A4","Caulobacterales",124,0.00157139055391517
0,0,"A4","Clostridiales",9878,0.125178999125597
0,0,"A4","Coleoptera",2,2.53450089341156e-05
0,0,"A4","Collembola",0,0
0,0,"A4","Conthreep",68,0.000861730303759932
0,0,"A4","Diptera",1389,0.0176021087047433
0,0,"A4","Enterobacteriales",207,0.00262320842468097
0,0,"A4","Eurotiales",1031,0.0130653521055366
0,0,"A4","Fabales",12,0.000152070053604694
0,0,"A4","Filobasidiales",1388,0.0175894362002763
0,0,"A4","Flavobacteriales",2148,0.0272205395952402
0,0,"A4","Fusobacteriales",14,0.00017741506253881
0,0,"A4","Gregarinasina",0,0
0,0,"A4","JG30_KF_CM45",1387,0.0175767636958092
0,0,"A4","Lactobacillales",5224,0.0662011633359101
0,0,"A4","Liliopsida",628,0.00795833280531231
0,0,"A4","Litostomatea",967,0.0122543118196449
0,0,"A4","Mucorales",1901,0.0240904309918769
0,0,"A4","Peronosporomycetes",0,0
0,0,"A4","Pleosporales",144,0.00182484064325633
0,0,"A4","Pseudomonadales",2815,0.0356731000747678
0,0,"A4","Rare",2606,0.0330245466411527
0,0,"A4","Rhabditida",8707,0.110339496394672
0,0,"A4","Rhizobiales",691,0.00875670058673696
0,0,"A4","Rhodobacterales",245,0.00310476359442917
0,0,"A4","Rhodospirillales",13,0.000164742558071752
0,0,"A4","Saccharomycetales",3588,0.0454689460278035
0,0,"A4","Sphingobacteriales",762,0.00965644840389806
0,0,"A4","Sporidiobolales",186,0.00235708583087276
