"days","degdays","subj","taxa","counts","fracBySubjDay","type"
0,0,"A1","Acari",1,4.2578557438474e-05,"euk"
0,0,"A1","Apiales",0,0,"euk"
0,0,"A1","Ascaridida",30,0.00127735672315422,"euk"
0,0,"A1","Aspergillaceae",2205,0.0938857191518351,"euk"
0,0,"A1","Asterales",23,0.000979306821084902,"euk"
0,0,"A1","Bacillariophyceae",571,0.0243123562973686,"euk"
0,0,"A1","Chlamydomonadales",350,0.0149024951034659,"euk"
0,0,"A1","Chromulinales",123,0.0052371625649323,"euk"
0,0,"A1","Cladosporiaceae",215,0.00915438984927191,"euk"
0,0,"A1","Coleoptera",6,0.000255471344630844,"euk"
0,0,"A1","Collembola",4,0.000170314229753896,"euk"
0,0,"A1","Cystofilobasidiaceae",3,0.000127735672315422,"euk"
0,0,"A1","Debaryomycetaceae",1319,0.0561611172613472,"euk"
0,0,"A1","Didymellaceae",36,0.00153282806778506,"euk"
0,0,"A1","Dipodascaceae",9,0.000383207016946266,"euk"
0,0,"A1","Diptera",589,0.0250787703312612,"euk"
0,0,"A1","Eimeriorina",97,0.00413012007153198,"euk"
0,0,"A1","Eustigmatales",311,0.0132419313633654,"euk"
0,0,"A1","Fabales",23,0.000979306821084902,"euk"
0,0,"A1","Haptoria",7,0.000298049902069318,"euk"
0,0,"A1","Herpotrichiellaceae",3,0.000127735672315422,"euk"
0,0,"A1","Hypotrichia",308,0.01311419569105,"euk"
0,0,"A1","Lichtheimiaceae",599,0.0255045559056459,"euk"
0,0,"A1","Malasseziaceae",38,0.00161798518266201,"euk"
0,0,"A1","Mucoraceae",648,0.0275909052201311,"euk"
0,0,"A1","Neogregarinorida",1,4.2578557438474e-05,"euk"
0,0,"A1","Oligohymenophorea",403,0.017159158647705,"euk"
0,0,"A1","Opiliones",0,0,"euk"
0,0,"A1","Peronosporomycetes",577,0.0245678276419995,"euk"
0,0,"A1","Phaeosphaeriaceae",15,0.00063867836157711,"euk"
0,0,"A1","Phaffomycetaceae",104,0.00442816997360129,"euk"
0,0,"A1","Pichiaceae",571,0.0243123562973686,"euk"
0,0,"A1","Poales",1644,0.0699991484288512,"euk"
0,0,"A1","Ranunculales",4,0.000170314229753896,"euk"
0,0,"A1","Rare",1587,0.0675721706548582,"euk"
0,0,"A1","Rhabditida",1975,0.0840926509409861,"euk"
0,0,"A1","Rhizaspididae",476,0.0202673933407136,"euk"
0,0,"A1","Rhizopodaceae",16,0.000681256919015584,"euk"
0,0,"A1","Rhynchogastremataceae",4,0.000170314229753896,"euk"
0,0,"A1","Saccharomycetaceae",1898,0.0808141020182236,"euk"
0,0,"A1","Saccharomycodaceae",0,0,"euk"
0,0,"A1","Sapindales",197,0.00838797581537938,"euk"
0,0,"A1","Schizosaccharomycetaceae",0,0,"euk"
0,0,"A1","Sphaeropleales",251,0.010687217917057,"euk"
0,0,"A1","Sporidiobolaceae",160,0.00681256919015584,"euk"
0,0,"A1","Taphrinaceae",46,0.0019586136421698,"euk"
0,0,"A1","Trichosporonaceae",3095,0.131780635272077,"euk"
0,0,"A1","Trichostomatia",2902,0.123562973686451,"euk"
0,0,"A1","Trypanosomatida",36,0.00153282806778506,"euk"
0,0,"A1","Ustilaginaceae",6,0.000255471344630844,"euk"
0,0,"A2","Acari",4,0.000735970561177553,"euk"
0,0,"A2","Apiales",0,0,"euk"
0,0,"A2","Ascaridida",131,0.0241030358785649,"euk"
0,0,"A2","Aspergillaceae",393,0.0723091076356946,"euk"
