"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A1","Acari","euk",1,4.2578557438474e-05
0,0,"A1","Aerococcaceae","bac",1083,0.053339243498818
0,0,"A1","Ascaridida","euk",30,0.00127735672315422
0,0,"A1","Aspergillaceae","euk",2205,0.0938857191518351
0,0,"A1","Bacillaceae","bac",200,0.00985027580772262
0,0,"A1","Bifidobacteriaceae","bac",179,0.00881599684791174
0,0,"A1","Brevibacteriaceae","bac",1107,0.0545212765957447
0,0,"A1","Carnobacteriaceae","bac",424,0.0208825847123719
0,0,"A1","Caulobacteraceae","bac",47,0.00231481481481481
0,0,"A1","Christensenellaceae","bac",243,0.011968085106383
0,0,"A1","Chromulinales","euk",123,0.0052371625649323
0,0,"A1","Cladosporiaceae","euk",215,0.00915438984927191
0,0,"A1","Clostridiaceae","bac",2581,0.12711780929866
0,0,"A1","Coleoptera","euk",6,0.000255471344630844
0,0,"A1","Collembola","euk",4,0.000170314229753896
0,0,"A1","Comamonadaceae","bac",172,0.00847123719464145
0,0,"A1","Corynebacteriaceae","bac",1127,0.0555063041765169
0,0,"A1","Debaryomycetaceae","euk",1319,0.0561611172613472
0,0,"A1","Dermabacteraceae","bac",808,0.0397951142631994
0,0,"A1","Didymellaceae","euk",36,0.00153282806778506
0,0,"A1","Dietziaceae","bac",353,0.0173857368006304
0,0,"A1","Dipodascaceae","euk",9,0.000383207016946266
0,0,"A1","Diptera","euk",589,0.0250787703312612
0,0,"A1","Eimeriorina","euk",97,0.00413012007153198
0,0,"A1","Enterobacteriaceae","bac",88,0.00433412135539795
0,0,"A1","Enterococcaceae","bac",500,0.0246256895193065
0,0,"A1","Eustigmatales","euk",311,0.0132419313633654
0,0,"A1","Fabales","euk",23,0.000979306821084902
0,0,"A1","Flavobacteriaceae","bac",342,0.0168439716312057
0,0,"A1","Haptoria","euk",7,0.000298049902069318
0,0,"A1","Herpotrichiellaceae","euk",3,0.000127735672315422
0,0,"A1","Hypotrichia","euk",308,0.01311419569105
0,0,"A1","Intrasporangiaceae","bac",279,0.0137411347517731
0,0,"A1","Lachnospiraceae","bac",461,0.0227048857368006
0,0,"A1","Lactobacillaceae","bac",719,0.0354117415287628
0,0,"A1","Lichtheimiaceae","euk",599,0.0255045559056459
0,0,"A1","Malasseziaceae","euk",38,0.00161798518266201
0,0,"A1","Microbacteriaceae","bac",132,0.00650118203309693
0,0,"A1","Micrococcaceae","bac",307,0.0151201733648542
0,0,"A1","Moraxellaceae","bac",954,0.0469858156028369
0,0,"A1","Mucoraceae","euk",648,0.0275909052201311
0,0,"A1","Oligohymenophorea","euk",403,0.017159158647705
0,0,"A1","Opiliones","euk",0,0
0,0,"A1","Oxalobacteraceae","bac",38,0.0018715524034673
0,0,"A1","Paraprevotellaceae","bac",457,0.0225078802206462
0,0,"A1","Peptostreptococcaceae","bac",122,0.0060086682427108
0,0,"A1","Peronosporomycetes","euk",577,0.0245678276419995
0,0,"A1","Phaeosphaeriaceae","euk",15,0.00063867836157711
0,0,"A1","Phaffomycetaceae","euk",104,0.00442816997360129
0,0,"A1","Pichiaceae","euk",571,0.0243123562973686
0,0,"A1","Planococcaceae","bac",729,0.0359042553191489
0,0,"A1","Poales","euk",1644,0.0699991484288512
0,0,"A1","Porphyromonadaceae","bac",74,0.00364460204885737
0,0,"A1","Prevotellaceae","bac",259,0.0127561071710008
0,0,"A1","Pseudomonadaceae","bac",405,0.0199468085106383
0,0,"A1","Ranunculales","euk",4,0.000170314229753896
0,0,"A1","Rare","bac",1754,0.0863869188337274
0,0,"A1","Rare","euk",3260,0.138806097249425
0,0,"A1","Rhabditida","euk",1975,0.0840926509409861
0,0,"A1","Rhynchogastremataceae","euk",4,0.000170314229753896
0,0,"A1","Rikenellaceae","bac",0,0
0,0,"A1","Ruminococcaceae","bac",714,0.0351654846335697
0,0,"A1","Saccharomycetaceae","euk",1898,0.0808141020182236
0,0,"A1","Saccharomycodaceae","euk",0,0
0,0,"A1","Sphaeropleales","euk",251,0.010687217917057
0,0,"A1","Sphingobacteriaceae","bac",184,0.00906225374310481
0,0,"A1","Sporidiobolaceae","euk",160,0.00681256919015584
0,0,"A1","Staphylococcaceae","bac",816,0.0401891252955083
0,0,"A1","Streptococcaceae","bac",330,0.0162529550827423
0,0,"A1","Streptomycetaceae","bac",0,0
0,0,"A1","Taphrinaceae","euk",46,0.0019586136421698
0,0,"A1","Tissierellaceae","bac",1140,0.0561465721040189
0,0,"A1","Trichosporonaceae","euk",3095,0.131780635272077
0,0,"A1","Trichostomatia","euk",2902,0.123562973686451
0,0,"A1","Turicibacteraceae","bac",273,0.0134456264775414
0,0,"A1","Ustilaginaceae","euk",6,0.000255471344630844
0,0,"A1","Veillonellaceae","bac",296,0.0145784081954295
0,0,"A1","Weeksellaceae","bac",389,0.0191587864460205
0,0,"A1","Xanthomonadaceae","bac",218,0.0107368006304177
0,0,"A2","Acari","euk",4,0.000735970561177553
0,0,"A2","Aerococcaceae","bac",1003,0.0249273057136466
0,0,"A2","Ascaridida","euk",131,0.0241030358785649
0,0,"A2","Aspergillaceae","euk",393,0.0723091076356946
0,0,"A2","Bacillaceae","bac",374,0.00929492755424112
0,0,"A2","Bifidobacteriaceae","bac",233,0.00579069016079728
0,0,"A2","Brevibacteriaceae","bac",802,0.0199319034719288
0,0,"A2","Carnobacteriaceae","bac",1107,0.0275119914506549
0,0,"A2","Caulobacteraceae","bac",414,0.0102890374530904
0,0,"A2","Christensenellaceae","bac",194,0.00482143300941919
0,0,"A2","Chromulinales","euk",2,0.000367985280588776
0,0,"A2","Cladosporiaceae","euk",37,0.00680772769089236
0,0,"A2","Clostridiaceae","bac",4944,0.122871983497776
0,0,"A2","Coleoptera","euk",21,0.00386384544618215
0,0,"A2","Collembola","euk",0,0
0,0,"A2","Comamonadaceae","bac",569,0.0141412133111315
0,0,"A2","Corynebacteriaceae","bac",1623,0.0403360091458111
0,0,"A2","Debaryomycetaceae","euk",318,0.0585096596136155
0,0,"A2","Dermabacteraceae","bac",1043,0.025921415612496
0,0,"A2","Didymellaceae","euk",0,0
0,0,"A2","Dietziaceae","bac",1007,0.0250267167035316
0,0,"A2","Dipodascaceae","euk",1,0.000183992640294388
0,0,"A2","Diptera","euk",304,0.055933762649494
0,0,"A2","Eimeriorina","euk",8,0.00147194112235511
0,0,"A2","Enterobacteriaceae","bac",92,0.00228645276735343
0,0,"A2","Enterococcaceae","bac",342,0.00849963963516167
0,0,"A2","Eustigmatales","euk",0,0
0,0,"A2","Fabales","euk",16,0.00294388224471021
0,0,"A2","Flavobacteriaceae","bac",886,0.0220195342595124
0,0,"A2","Haptoria","euk",2,0.000367985280588776
0,0,"A2","Herpotrichiellaceae","euk",1,0.000183992640294388
0,0,"A2","Hypotrichia","euk",5,0.000919963201471941
0,0,"A2","Intrasporangiaceae","bac",447,0.0111091781196411
0,0,"A2","Lachnospiraceae","bac",677,0.0168253100380247
0,0,"A2","Lactobacillaceae","bac",541,0.013445336381937
0,0,"A2","Lichtheimiaceae","euk",40,0.00735970561177553
0,0,"A2","Malasseziaceae","euk",4,0.000735970561177553
0,0,"A2","Microbacteriaceae","bac",263,0.00653627258493426
0,0,"A2","Micrococcaceae","bac",1049,0.0260705320973234
0,0,"A2","Moraxellaceae","bac",4399,0.109327236125954
0,0,"A2","Mucoraceae","euk",182,0.0334866605335787
0,0,"A2","Oligohymenophorea","euk",44,0.00809567617295308
0,0,"A2","Opiliones","euk",0,0
0,0,"A2","Oxalobacteraceae","bac",169,0.00420011432263837
0,0,"A2","Paraprevotellaceae","bac",606,0.0150607649675672
0,0,"A2","Peptostreptococcaceae","bac",152,0.00377761761562741
0,0,"A2","Peronosporomycetes","euk",5,0.000919963201471941
0,0,"A2","Phaeosphaeriaceae","euk",0,0
0,0,"A2","Phaffomycetaceae","euk",53,0.00975160993560258
0,0,"A2","Pichiaceae","euk",135,0.0248390064397424
0,0,"A2","Planococcaceae","bac",1020,0.0253498024206576
0,0,"A2","Poales","euk",64,0.0117755289788408
0,0,"A2","Porphyromonadaceae","bac",222,0.00551730993861371
0,0,"A2","Prevotellaceae","bac",275,0.00683450555458906
0,0,"A2","Pseudomonadaceae","bac",62,0.00154087034321644
0,0,"A2","Ranunculales","euk",0,0
0,0,"A2","Rare","bac",2828,0.0702835698486467
0,0,"A2","Rare","euk",160,0.0294388224471021
0,0,"A2","Rhabditida","euk",1869,0.343882244710212
0,0,"A2","Rhynchogastremataceae","euk",0,0
0,0,"A2","Rikenellaceae","bac",1,2.48527474712329e-05
0,0,"A2","Ruminococcaceae","bac",1087,0.0270149365012302
0,0,"A2","Saccharomycetaceae","euk",178,0.0327506899724011
0,0,"A2","Saccharomycodaceae","euk",0,0
0,0,"A2","Sphaeropleales","euk",0,0
0,0,"A2","Sphingobacteriaceae","bac",1382,0.0343464970052439
0,0,"A2","Sporidiobolaceae","euk",28,0.00515179392824287
0,0,"A2","Staphylococcaceae","bac",1524,0.037875587146159
0,0,"A2","Streptococcaceae","bac",292,0.00725700226160002
0,0,"A2","Streptomycetaceae","bac",9,0.000223674727241097
0,0,"A2","Taphrinaceae","euk",1,0.000183992640294388
0,0,"A2","Tissierellaceae","bac",2142,0.053234585083381
0,0,"A2","Trichosporonaceae","euk",755,0.138914443422263
0,0,"A2","Trichostomatia","euk",674,0.124011039558418
0,0,"A2","Turicibacteraceae","bac",460,0.0114322638367672
0,0,"A2","Ustilaginaceae","euk",0,0
0,0,"A2","Veillonellaceae","bac",591,0.0146879737554987
0,0,"A2","Weeksellaceae","bac",4875,0.121157143922261
0,0,"A2","Xanthomonadaceae","bac",531,0.0131968089072247
0,0,"A3","Acari","euk",0,0
0,0,"A3","Aerococcaceae","bac",3419,0.0496233617323909
0,0,"A3","Ascaridida","euk",17,0.000902479163348729
0,0,"A3","Aspergillaceae","euk",1424,0.0755959016828582
0,0,"A3","Bacillaceae","bac",1089,0.015805744640706
0,0,"A3","Bifidobacteriaceae","bac",792,0.0114950870114225
0,0,"A3","Brevibacteriaceae","bac",3242,0.047054383953323
0,0,"A3","Carnobacteriaceae","bac",1689,0.0245141438917836
0,0,"A3","Caulobacteraceae","bac",216,0.00313502373038796
0,0,"A3","Christensenellaceae","bac",774,0.0112338350338902
0,0,"A3","Chromulinales","euk",21,0.00111482720178372
0,0,"A3","Cladosporiaceae","euk",61,0.00323830758613367
0,0,"A3","Clostridiaceae","bac",8276,0.120117853669865
0,0,"A3","Coleoptera","euk",3,0.000159261028826246
0,0,"A3","Collembola","euk",0,0
0,0,"A3","Comamonadaceae","bac",499,0.00724248537714626
0,0,"A3","Corynebacteriaceae","bac",4322,0.0627295026052628
0,0,"A3","Debaryomycetaceae","euk",527,0.0279768540638106
0,0,"A3","Dermabacteraceae","bac",2597,0.0376928547584145
0,0,"A3","Didymellaceae","euk",1,5.30870096087487e-05
0,0,"A3","Dietziaceae","bac",1454,0.0211033541851115
0,0,"A3","Dipodascaceae","euk",19,0.00100865318256623
0,0,"A3","Diptera","euk",1023,0.05430801082975
0,0,"A3","Eimeriorina","euk",54,0.00286669851887243
0,0,"A3","Enterobacteriaceae","bac",273,0.00396232165924034
0,0,"A3","Enterococcaceae","bac",1653,0.023991639936719
0,0,"A3","Eustigmatales","euk",0,0
0,0,"A3","Fabales","euk",35,0.00185804533630621
0,0,"A3","Flavobacteriaceae","bac",747,0.0108419570675917
0,0,"A3","Haptoria","euk",1077,0.0571747093486224
0,0,"A3","Herpotrichiellaceae","euk",2,0.000106174019217497
0,0,"A3","Hypotrichia","euk",30,0.00159261028826246
0,0,"A3","Intrasporangiaceae","bac",1155,0.0167636685583245
0,0,"A3","Lachnospiraceae","bac",1220,0.0177070784771912
