"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,40.4385666666667,-40.4385666666667
0,"A1","A2",0,41.0066833333333,-41.0066833333333
0,"A1","A3",0,39.5766222222222,-39.5766222222222
0,"A1","A4",0,37.5948722222222,-37.5948722222222
0,"A1","A5",0,58.0972555555555,-58.0972555555555
0,"A1","A6",0,55.95045,-55.95045
0,"A1","A1",27,43.0269666666667,-16.0269666666667
0,"A1","A1",57,63.1850111111111,-6.18501111111111
0,"A1","A1",87,72.9610833333333,14.0389166666667
0,"A1","A1",149,189.161244444444,-40.161244444444
0,"A1","A1",326,338.671383333334,-12.6713833333336
0,"A1","A1",390,345.648266666667,44.3517333333333
0,"A1","A1",448,348.681933333334,99.3180666666662
0,"A2","A1",0,44.0480777777778,-44.0480777777778
0,"A2","A2",0,46.7982,-46.7982
0,"A2","A3",0,43.2981666666667,-43.2981666666667
0,"A2","A4",0,42.4608888888889,-42.4608888888889
0,"A2","A5",0,67.9519166666667,-67.9519166666667
0,"A2","A6",0,67.2850666666667,-67.2850666666667
0,"A2","A2",27,39.5089222222222,-12.5089222222222
0,"A2","A2",57,79.2752333333333,-22.2752333333333
0,"A2","A2",87,116.519244444444,-29.5192444444445
0,"A2","A2",149,192.832977777777,-43.8329777777772
0,"A2","A2",209,231.748611111111,-22.7486111111109
0,"A2","A2",267,265.368505555555,1.63149444444451
0,"A2","A2",326,290.966583333333,35.0334166666669
0,"A2","A2",390,296.207661111111,93.7923388888888
0,"A2","A2",448,302.410527777778,145.589472222222
0,"A3","A1",0,44.8485333333333,-44.8485333333333
0,"A3","A2",0,43.9015222222222,-43.9015222222222
0,"A3","A3",0,41.0723444444444,-41.0723444444444
0,"A3","A4",0,42.7577555555556,-42.7577555555556
0,"A3","A5",0,57.4357222222222,-57.4357222222222
0,"A3","A6",0,51.9538055555556,-51.9538055555556
0,"A3","A3",27,44.2584,-17.2584
0,"A3","A3",57,128.364605555556,-71.3646055555556
0,"A3","A3",87,142.681722222222,-55.6817222222223
0,"A3","A3",149,243.414822222222,-94.4148222222219
0,"A3","A3",209,255.733083333333,-46.7330833333326
0,"A3","A3",267,303.907461111111,-36.9074611111112
0,"A3","A3",326,338.237694444444,-12.2376944444444
0,"A3","A3",390,380.789366666667,9.21063333333325
0,"A3","A3",448,355.5038,92.4961999999998
0,"A4","A1",0,38.2425444444444,-38.2425444444444
0,"A4","A2",0,44.11835,-44.11835
0,"A4","A3",0,37.8199333333333,-37.8199333333333
0,"A4","A4",0,37.3170944444445,-37.3170944444445
0,"A4","A5",0,52.8360611111111,-52.8360611111111
0,"A4","A6",0,56.7550055555555,-56.7550055555555
0,"A4","A4",27,68.1379944444444,-41.1379944444444
0,"A4","A4",57,67.5769666666666,-10.5769666666666
0,"A4","A4",87,117.770161111111,-30.7701611111111
0,"A4","A4",149,284.257888888889,-135.257888888889
0,"A4","A4",267,265.152477777778,1.84752222222221
0,"A4","A4",326,233.883716666666,92.1162833333336
0,"A4","A4",390,210.904144444445,179.095855555555
0,"A4","A4",448,315.1833,132.8167
0,"A5","A1",0,41.5980555555555,-41.5980555555555
0,"A5","A2",0,45.4604555555555,-45.4604555555555
0,"A5","A3",0,41.9198555555555,-41.9198555555555
0,"A5","A4",0,41.0976444444444,-41.0976444444444
0,"A5","A5",0,50.3368444444444,-50.3368444444444
0,"A5","A6",0,52.3328333333333,-52.3328333333333
0,"A5","A5",27,36.5032222222222,-9.50322222222223
0,"A5","A5",57,93.6454277777777,-36.6454277777777
0,"A5","A5",87,237.3006,-150.3006
0,"A5","A5",149,224.157355555555,-75.1573555555555
0,"A5","A5",209,225.754805555555,-16.7548055555554
0,"A5","A5",267,328.394661111111,-61.394661111111
0,"A5","A5",326,329.265533333333,-3.26553333333322
0,"A5","A5",390,342.449505555555,47.5504944444446
0,"A5","A5",448,361.87315,86.1268499999999
0,"A6","A1",0,41.9810722222222,-41.9810722222222
0,"A6","A2",0,42.24395,-42.24395
0,"A6","A3",0,42.6474666666667,-42.6474666666667
0,"A6","A4",0,44.2532055555556,-44.2532055555556
0,"A6","A5",0,63.9493722222222,-63.9493722222222
0,"A6","A6",0,59.6871722222222,-59.6871722222222
0,"A6","A6",27,56.3547888888889,-29.3547888888889
0,"A6","A6",57,48.0490833333333,8.95091666666666
0,"A6","A6",87,129.376733333334,-42.3767333333336
0,"A6","A6",149,196.596677777778,-47.5966777777775
0,"A6","A6",209,254.788861111111,-45.7888611111108
0,"A6","A6",267,246.334105555556,20.6658944444445
0,"A6","A6",326,338.0096,-12.0095999999998
0,"A6","A6",390,330.256266666667,59.7437333333333
0,"A6","A6",448,348.974588888889,99.0254111111112
27,"A1","A1",0,22.193,-22.193
27,"A1","A1",27,32.8793388888889,-5.8793388888889
27,"A1","A2",27,33.5850777777778,-6.58507777777778
27,"A1","A3",27,35.6094666666667,-8.60946666666667
27,"A1","A4",27,61.7125611111111,-34.7125611111111
27,"A1","A5",27,25.6222388888889,1.37776111111111
27,"A1","A6",27,43.3813,-16.3813
27,"A1","A1",57,51.1838166666667,5.81618333333332
27,"A1","A1",87,78.1472555555556,8.85274444444444
27,"A1","A1",149,192.180177777777,-43.1801777777774
27,"A1","A1",326,339.3612,-13.3612
27,"A1","A1",390,347.239422222222,42.7605777777779
27,"A1","A1",448,342.4365,105.5635
27,"A2","A2",0,21.9100777777778,-21.9100777777778
27,"A2","A1",27,30.1841055555555,-3.18410555555555
27,"A2","A2",27,28.6805111111111,-1.68051111111111
27,"A2","A3",27,35.8361944444444,-8.83619444444442
27,"A2","A4",27,64.7776444444444,-37.7776444444444
27,"A2","A5",27,19.8223888888889,7.1776111111111
27,"A2","A6",27,44.0824277777778,-17.0824277777778
27,"A2","A2",57,62.7900666666667,-5.79006666666665
27,"A2","A2",87,110.132588888889,-23.1325888888888
27,"A2","A2",149,196.120661111111,-47.1206611111107
27,"A2","A2",209,237.187355555555,-28.1873555555552
27,"A2","A2",267,269.641566666667,-2.64156666666651
27,"A2","A2",326,299.788627777778,26.2113722222225
27,"A2","A2",390,302.26865,87.7313499999998
27,"A2","A2",448,305.658522222222,142.341477777778
27,"A3","A3",0,23.0755666666667,-23.0755666666667
27,"A3","A1",27,38.7236722222222,-11.7236722222222
27,"A3","A2",27,38.6084222222222,-11.6084222222222
27,"A3","A3",27,43.4440111111111,-16.4440111111111
27,"A3","A4",27,64.4023222222222,-37.4023222222222
27,"A3","A5",27,23.8305944444445,3.16940555555555
27,"A3","A6",27,40.9366888888889,-13.9366888888889
27,"A3","A3",57,138.538605555556,-81.5386055555555
27,"A3","A3",87,144.493861111111,-57.493861111111
27,"A3","A3",149,243.157338888889,-94.1573388888886
27,"A3","A3",209,251.369705555555,-42.3697055555552
27,"A3","A3",267,304.036988888889,-37.0369888888889
27,"A3","A3",326,337.866155555555,-11.8661555555552
27,"A3","A3",390,383.240572222222,6.75942777777783
27,"A3","A3",448,357.255822222222,90.7441777777777
27,"A4","A4",0,19.7607388888889,-19.7607388888889
27,"A4","A1",27,33.7689111111111,-6.76891111111109
27,"A4","A2",27,32.5855388888889,-5.58553888888888
27,"A4","A3",27,41.3847277777778,-14.3847277777778
27,"A4","A4",27,68.1223666666666,-41.1223666666666
27,"A4","A5",27,21.2843333333333,5.71566666666666
27,"A4","A6",27,40.5571166666667,-13.5571166666667
27,"A4","A4",57,64.3924944444444,-7.39249444444442
27,"A4","A4",87,106.008155555556,-19.0081555555556
27,"A4","A4",149,280.132227777778,-131.132227777778
27,"A4","A4",267,261.774255555555,5.22574444444462
27,"A4","A4",326,231.555527777777,94.4444722222226
27,"A4","A4",390,206.91175,183.08825
27,"A4","A4",448,316.905983333334,131.094016666666
27,"A5","A5",0,22.4987388888889,-22.4987388888889
27,"A5","A1",27,33.1646444444444,-6.16464444444442
27,"A5","A2",27,30.9952055555555,-3.99520555555554
27,"A5","A3",27,38.1141055555555,-11.1141055555555
27,"A5","A4",27,64.1452722222222,-37.1452722222222
27,"A5","A5",27,20.3784944444445,6.62150555555554
