numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
900,9,45390.73568300296,0.15409684822400746
1500,9,45333.95711888219,0.15382553822482034
1800,9,45306.63589379743,0.15380659822188908
2100,9,45332.164544357816,0.15388399339456407
2400,9,45264.50874846283,0.1536611332377447
3e3,9,45351.93370704116,0.15389093336486326
900,10,45058.67322100361,0.15298324245230988
1500,10,45062.77632972106,0.15298973970297375
1800,10,44984.45013132143,0.15270270243596326
2100,10,44958.86786258101,0.15260426045151598
2400,10,44959.980588180304,0.15264074186082854
3e3,10,44981.248487046476,0.15267911207271043
900,11,44870.37521413475,0.1523293278598754
1500,11,44690.95611077515,0.15174678098961555
1800,11,44689.25221118499,0.15180777530860604
2100,11,44744.20111684176,0.15195689423747322
2400,11,44697.13339303892,0.1517754431779887
3e3,11,44724.91838919951,0.15187613837480002
900,12,44712.27094598073,0.15186308057438722
1500,12,44597.68412248728,0.1515355705259358
1800,12,44589.0162657539,0.15151229407956704
2100,12,44617.52075111816,0.15159003435296411
2400,12,44572.4516804472,0.15141323522942046
3e3,12,44541.50368398902,0.1512932002694599
900,13,44443.09421734909,0.1510472126326997
1500,13,44519.2518882958,0.15124856467508044
1800,13,44541.51642402046,0.15135667768492542
2100,13,44507.71575771904,0.1512139836698444
2400,13,44486.7208081438,0.15110196845919052
3e3,13,44458.704584795836,0.1510450381552253
900,14,44560.597624038906,0.15145866972892985
1500,14,44467.38639494284,0.1510684286749022
1800,14,44526.18978437809,0.1514359481636757
2100,14,44480.69320122752,0.1511220400838933
2400,14,44501.346201031694,0.15122996323057353
3e3,14,44431.51491967221,0.15097256581494983
900,15,44564.14597282375,0.1515123505966791
1500,15,44542.95192757698,0.1514007290059783
1800,15,44553.59338093027,0.1515218728701176
2100,15,44507.121519945125,0.15137224623945722
2400,15,44458.353352617516,0.15113424084800545
3e3,15,44524.98984914035,0.15137963733028756
