"days","degdays","subj","taxa","counts","fracBySubjDay","type"
0,0,"A1","Acari",1,3.61284728494527e-05,"euk"
0,0,"A1","Agaricales",11,0.000397413201343979,"euk"
0,0,"A1","Ascaridida",30,0.00108385418548358,"euk"
0,0,"A1","Asterales",23,0.000830954875537411,"euk"
0,0,"A1","Bacillariophytina",578,0.0208822573069836,"euk"
0,0,"A1","Capnodiales",217,0.00783987860833123,"euk"
0,0,"A1","Chaetothyriales",3,0.000108385418548358,"euk"
0,0,"A1","Chlamydomonadales",350,0.0126449654973084,"euk"
0,0,"A1","Chromulinales",123,0.00444380216048268,"euk"
0,0,"A1","Coccidia",97,0.00350446186639691,"euk"
0,0,"A1","Coleoptera",6,0.000216770837096716,"euk"
0,0,"A1","Collembola",4,0.000144513891397811,"euk"
0,0,"A1","Conthreep",896,0.0323711116731096,"euk"
0,0,"A1","Cryomonadida",476,0.0171971530763395,"euk"
0,0,"A1","Diptera",589,0.0212796705083276,"euk"
0,0,"A1","Eurotiales",2218,0.080132952780086,"euk"
0,0,"A1","Eustigmatales",311,0.0112359550561798,"euk"
0,0,"A1","Fabales",23,0.000830954875537411,"euk"
0,0,"A1","Filobasidiales",749,0.02706022616424,"euk"
0,0,"A1","Gregarinasina",1,3.61284728494527e-05,"euk"
0,0,"A1","Liliopsida",1653,0.0597203656201452,"euk"
0,0,"A1","Litostomatea",2913,0.105242241410456,"euk"
0,0,"A1","Malasseziales",38,0.0013728819682792,"euk"
0,0,"A1","Metakinetoplastina",52,0.00187868058817154,"euk"
0,0,"A1","Mucorales",1336,0.0482676397268687,"euk"
0,0,"A1","Opiliones",0,0,"euk"
0,0,"A1","Peronosporomycetes",577,0.0208461288341342,"euk"
0,0,"A1","Pleosporales",265,0.00957404530510495,"euk"
0,0,"A1","Polyporales",14,0.000505798619892337,"euk"
0,0,"A1","Ranunculales",4,0.000144513891397811,"euk"
0,0,"A1","Rare",1761,0.0636222406878861,"euk"
0,0,"A1","Rhabditida",1975,0.071353733877669,"euk"
0,0,"A1","Saccharomycetales",6522,0.23562989992413,"euk"
0,0,"A1","Sapindales",197,0.00711730915134217,"euk"
0,0,"A1","Schizosaccharomycetales",0,0,"euk"
0,0,"A1","Spirotrichea",308,0.0111275696376314,"euk"
0,0,"A1","Sporidiobolales",160,0.00578055565591242,"euk"
0,0,"A1","Taphrinales",46,0.00166190975107482,"euk"
0,0,"A1","Tremellales",51,0.00184255211532209,"euk"
0,0,"A1","Trichosporonales",3095,0.111817623469056,"euk"
0,0,"A1","Ustilaginales",6,0.000216770837096716,"euk"
0,0,"A2","Acari",4,0.000641848523748395,"euk"
0,0,"A2","Agaricales",1,0.000160462130937099,"euk"
0,0,"A2","Ascaridida",131,0.0210205391527599,"euk"
0,0,"A2","Asterales",0,0,"euk"
0,0,"A2","Bacillariophytina",3,0.000481386392811297,"euk"
0,0,"A2","Capnodiales",40,0.00641848523748395,"euk"
0,0,"A2","Chaetothyriales",1,0.000160462130937099,"euk"
0,0,"A2","Chlamydomonadales",9,0.00144415917843389,"euk"
0,0,"A2","Chromulinales",2,0.000320924261874198,"euk"
0,0,"A2","Coccidia",8,0.00128369704749679,"euk"
0,0,"A2","Coleoptera",21,0.00336970474967908,"euk"
0,0,"A2","Collembola",0,0,"euk"
0,0,"A2","Conthreep",64,0.0102695763799743,"euk"
0,0,"A2","Cryomonadida",20,0.00320924261874198,"euk"
0,0,"A2","Diptera",304,0.0487804878048781,"euk"
0,0,"A2","Eurotiales",394,0.0632220795892169,"euk"
0,0,"A2","Eustigmatales",0,0,"euk"
0,0,"A2","Fabales",16,0.00256739409499358,"euk"
0,0,"A2","Filobasidiales",255,0.0409178433889602,"euk"
0,0,"A2","Gregarinasina",0,0,"euk"
0,0,"A2","Liliopsida",69,0.0110718870346598,"euk"
0,0,"A2","Litostomatea",680,0.109114249037227,"euk"
0,0,"A2","Malasseziales",4,0.000641848523748395,"euk"
0,0,"A2","Metakinetoplastina",4,0.000641848523748395,"euk"
0,0,"A2","Mucorales",252,0.0404364569961489,"euk"
0,0,"A2","Opiliones",0,0,"euk"
0,0,"A2","Peronosporomycetes",5,0.000802310654685494,"euk"
0,0,"A2","Pleosporales",167,0.0267971758664955,"euk"
0,0,"A2","Polyporales",0,0,"euk"
0,0,"A2","Ranunculales",0,0,"euk"
0,0,"A2","Rare",125,0.0200577663671374,"euk"
0,0,"A2","Rhabditida",1869,0.299903722721438,"euk"
0,0,"A2","Saccharomycetales",985,0.158055198973042,"euk"
0,0,"A2","Sapindales",0,0,"euk"
0,0,"A2","Schizosaccharomycetales",0,0,"euk"
0,0,"A2","Spirotrichea",5,0.000802310654685494,"euk"
0,0,"A2","Sporidiobolales",28,0.00449293966623877,"euk"
0,0,"A2","Taphrinales",1,0.000160462130937099,"euk"
0,0,"A2","Tremellales",10,0.00160462130937099,"euk"
0,0,"A2","Trichosporonales",755,0.12114890885751,"euk"
0,0,"A2","Ustilaginales",0,0,"euk"
0,0,"A3","Acari",0,0,"euk"
0,0,"A3","Agaricales",6,0.000287590471169055,"euk"
0,0,"A3","Ascaridida",17,0.000814839668312323,"euk"
0,0,"A3","Asterales",0,0,"euk"
0,0,"A3","Bacillariophytina",0,0,"euk"
0,0,"A3","Capnodiales",63,0.00301969994727508,"euk"
0,0,"A3","Chaetothyriales",3,0.000143795235584528,"euk"
0,0,"A3","Chlamydomonadales",32,0.00153381584623496,"euk"
0,0,"A3","Chromulinales",21,0.00100656664909169,"euk"
0,0,"A3","Coccidia",54,0.0025883142405215,"euk"
0,0,"A3","Coleoptera",3,0.000143795235584528,"euk"
0,0,"A3","Collembola",0,0,"euk"
