"days","degdays","subj","taxon","counts","fracBySubjDay"
0,0,"A1","Acari",1,4.2578557438474e-05
0,0,"A1","Apiales",0,0
0,0,"A1","Ascaridida",30,0.00127735672315422
0,0,"A1","Aspergillaceae",2205,0.0938857191518351
0,0,"A1","Asterales",23,0.000979306821084902
0,0,"A1","Bacillariophyceae",571,0.0243123562973686
0,0,"A1","Chlamydomonadales",350,0.0149024951034659
0,0,"A1","Chromulinales",123,0.0052371625649323
0,0,"A1","Cladosporiaceae",215,0.00915438984927191
0,0,"A1","Coleoptera",6,0.000255471344630844
0,0,"A1","Collembola",4,0.000170314229753896
0,0,"A1","Cystofilobasidiaceae",3,0.000127735672315422
0,0,"A1","Debaryomycetaceae",1319,0.0561611172613472
0,0,"A1","Didymellaceae",36,0.00153282806778506
0,0,"A1","Dipodascaceae",9,0.000383207016946266
0,0,"A1","Diptera",589,0.0250787703312612
0,0,"A1","Eimeriorina",97,0.00413012007153198
0,0,"A1","Eustigmatales",311,0.0132419313633654
0,0,"A1","Fabales",23,0.000979306821084902
0,0,"A1","Haptoria",7,0.000298049902069318
0,0,"A1","Herpotrichiellaceae",3,0.000127735672315422
0,0,"A1","Hypotrichia",308,0.01311419569105
0,0,"A1","Lichtheimiaceae",599,0.0255045559056459
0,0,"A1","Malasseziaceae",38,0.00161798518266201
0,0,"A1","Mucoraceae",648,0.0275909052201311
0,0,"A1","Neogregarinorida",1,4.2578557438474e-05
0,0,"A1","Oligohymenophorea",403,0.017159158647705
0,0,"A1","Opiliones",0,0
0,0,"A1","Peronosporomycetes",577,0.0245678276419995
0,0,"A1","Phaeosphaeriaceae",15,0.00063867836157711
0,0,"A1","Phaffomycetaceae",104,0.00442816997360129
0,0,"A1","Pichiaceae",571,0.0243123562973686
0,0,"A1","Poales",1644,0.0699991484288512
0,0,"A1","Ranunculales",4,0.000170314229753896
0,0,"A1","Rare",1587,0.0675721706548582
0,0,"A1","Rhabditida",1975,0.0840926509409861
0,0,"A1","Rhizaspididae",476,0.0202673933407136
0,0,"A1","Rhizopodaceae",16,0.000681256919015584
0,0,"A1","Rhynchogastremataceae",4,0.000170314229753896
0,0,"A1","Saccharomycetaceae",1898,0.0808141020182236
0,0,"A1","Saccharomycodaceae",0,0
0,0,"A1","Sapindales",197,0.00838797581537938
0,0,"A1","Schizosaccharomycetaceae",0,0
0,0,"A1","Sphaeropleales",251,0.010687217917057
0,0,"A1","Sporidiobolaceae",160,0.00681256919015584
0,0,"A1","Taphrinaceae",46,0.0019586136421698
0,0,"A1","Trichosporonaceae",3095,0.131780635272077
0,0,"A1","Trichostomatia",2902,0.123562973686451
0,0,"A1","Trypanosomatida",36,0.00153282806778506
0,0,"A1","Ustilaginaceae",6,0.000255471344630844
0,0,"A2","Acari",4,0.000735970561177553
0,0,"A2","Apiales",0,0
0,0,"A2","Ascaridida",131,0.0241030358785649
0,0,"A2","Aspergillaceae",393,0.0723091076356946
0,0,"A2","Asterales",0,0
0,0,"A2","Bacillariophyceae",3,0.000551977920883165
0,0,"A2","Chlamydomonadales",9,0.00165593376264949
0,0,"A2","Chromulinales",2,0.000367985280588776
0,0,"A2","Cladosporiaceae",37,0.00680772769089236
0,0,"A2","Coleoptera",21,0.00386384544618215
0,0,"A2","Collembola",0,0
0,0,"A2","Cystofilobasidiaceae",0,0
0,0,"A2","Debaryomycetaceae",318,0.0585096596136155
0,0,"A2","Didymellaceae",0,0
0,0,"A2","Dipodascaceae",1,0.000183992640294388
0,0,"A2","Diptera",304,0.055933762649494
0,0,"A2","Eimeriorina",8,0.00147194112235511
0,0,"A2","Eustigmatales",0,0
0,0,"A2","Fabales",16,0.00294388224471021
0,0,"A2","Haptoria",2,0.000367985280588776
0,0,"A2","Herpotrichiellaceae",1,0.000183992640294388
0,0,"A2","Hypotrichia",5,0.000919963201471941
0,0,"A2","Lichtheimiaceae",40,0.00735970561177553
0,0,"A2","Malasseziaceae",4,0.000735970561177553
0,0,"A2","Mucoraceae",182,0.0334866605335787
0,0,"A2","Neogregarinorida",0,0
0,0,"A2","Oligohymenophorea",44,0.00809567617295308
0,0,"A2","Opiliones",0,0
0,0,"A2","Peronosporomycetes",5,0.000919963201471941
0,0,"A2","Phaeosphaeriaceae",0,0
0,0,"A2","Phaffomycetaceae",53,0.00975160993560258
0,0,"A2","Pichiaceae",135,0.0248390064397424
0,0,"A2","Poales",64,0.0117755289788408
0,0,"A2","Ranunculales",0,0
0,0,"A2","Rare",107,0.0196872125114995
0,0,"A2","Rhabditida",1869,0.343882244710212
0,0,"A2","Rhizaspididae",20,0.00367985280588776
0,0,"A2","Rhizopodaceae",19,0.00349586016559338
0,0,"A2","Rhynchogastremataceae",0,0
0,0,"A2","Saccharomycetaceae",178,0.0327506899724011
0,0,"A2","Saccharomycodaceae",0,0
0,0,"A2","Sapindales",0,0
0,0,"A2","Schizosaccharomycetaceae",0,0
0,0,"A2","Sphaeropleales",0,0
0,0,"A2","Sporidiobolaceae",28,0.00515179392824287
0,0,"A2","Taphrinaceae",1,0.000183992640294388
0,0,"A2","Trichosporonaceae",755,0.138914443422263
0,0,"A2","Trichostomatia",674,0.124011039558418
0,0,"A2","Trypanosomatida",2,0.000367985280588776
0,0,"A2","Ustilaginaceae",0,0
0,0,"A3","Acari",0,0
0,0,"A3","Apiales",0,0
0,0,"A3","Ascaridida",17,0.000902479163348729
0,0,"A3","Aspergillaceae",1424,0.0755959016828582
0,0,"A3","Asterales",0,0
0,0,"A3","Bacillariophyceae",0,0
