"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,165.569727777778,-165.569727777778
0,"A1","A2",0,239.147677777778,-239.147677777778
0,"A1","A3",0,121.589383333333,-121.589383333333
0,"A1","A4",0,151.478638888889,-151.478638888889
0,"A1","A5",0,297.214333333333,-297.214333333333
0,"A1","A6",0,211.741805555556,-211.741805555556
0,"A1","A1",27,86.7265222222222,-59.7265222222222
0,"A1","A1",57,160.250416666667,-103.250416666667
0,"A1","A1",87,109.928288888889,-22.9282888888888
0,"A1","A1",149,190.093294444444,-41.0932944444441
0,"A1","A1",209,201.000772222222,7.999227777778
0,"A1","A1",267,320.139611111111,-53.139611111111
0,"A1","A1",326,341.666972222223,-15.6669722222225
0,"A1","A1",390,335.284988888889,54.7150111111113
0,"A1","A1",448,386.8123,61.1876999999997
0,"A1","A1",734,704.243594444446,29.756405555554
0,"A1","A1",930,737.579172222221,192.420827777779
0,"A1","A1",1130,1116.60675,13.3932500000005
0,"A1","A1",1326,1309.47941666667,16.5205833333323
0,"A1","A1",1516,1124.05275,391.947250000002
0,"A1","A1",1703,1143.29944444444,559.700555555556
0,"A2","A1",0,223.580283333333,-223.580283333333
0,"A2","A2",0,291.230372222222,-291.230372222222
0,"A2","A3",0,142.586944444444,-142.586944444444
0,"A2","A4",0,169.031105555556,-169.031105555556
0,"A2","A5",0,378.619105555556,-378.619105555556
0,"A2","A6",0,234.373294444445,-234.373294444445
0,"A2","A2",27,56.3121666666667,-29.3121666666667
0,"A2","A2",57,462.157844444445,-405.157844444445
0,"A2","A2",87,257.405111111111,-170.405111111111
0,"A2","A2",149,241.671194444444,-92.6711944444442
0,"A2","A2",209,203.631972222222,5.36802777777837
0,"A2","A2",267,291.748444444444,-24.7484444444442
0,"A2","A2",326,281.392116666667,44.6078833333333
0,"A2","A2",390,309.582133333333,80.4178666666668
0,"A2","A2",448,330.194288888889,117.805711111111
0,"A2","A2",734,968.263344444444,-234.263344444444
0,"A2","A2",930,1027.49410555556,-97.4941055555551
0,"A2","A2",1130,1234.97820555555,-104.978205555554
0,"A2","A2",1326,1326.25045,-0.250450000000001
0,"A2","A2",1516,1247.76802777778,268.231972222224
0,"A2","A2",1703,1461.05555555555,241.944444444445
0,"A3","A1",0,143.651933333333,-143.651933333333
0,"A3","A2",0,217.347683333333,-217.347683333333
0,"A3","A3",0,158.684761111111,-158.684761111111
0,"A3","A4",0,160.444644444444,-160.444644444444
0,"A3","A5",0,283.227694444445,-283.227694444445
0,"A3","A6",0,187.266533333333,-187.266533333333
0,"A3","A3",27,58.0490333333333,-31.0490333333333
0,"A3","A3",57,128.671733333333,-71.6717333333335
0,"A3","A3",87,241.074822222222,-154.074822222222
0,"A3","A3",149,287.579661111111,-138.579661111111
0,"A3","A3",209,293.268816666666,-84.2688166666661
0,"A3","A3",267,222.358166666666,44.6418333333337
0,"A3","A3",326,383.223383333334,-57.2233833333336
