"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,53.3195944444445,-53.3195944444445
0,"A1","A2",0,60.2926111111111,-60.2926111111111
0,"A1","A3",0,60.5387611111111,-60.5387611111111
0,"A1","A4",0,55.89125,-55.89125
0,"A1","A5",0,134.0065,-134.0065
0,"A1","A6",0,109.42485,-109.42485
0,"A1","A1",27,54.0770166666667,-27.0770166666667
0,"A1","A1",57,120.13935,-63.13935
0,"A1","A1",87,102.687422222222,-15.6874222222223
0,"A1","A1",149,166.127788888889,-17.1277888888887
0,"A1","A1",209,192.445005555555,16.5549944444449
0,"A1","A1",267,268.040366666666,-1.04036666666639
0,"A1","A1",326,276.011972222222,49.9880277777776
0,"A1","A1",390,315.251633333333,74.748366666667
0,"A1","A1",448,372.670061111111,75.3299388888889
0,"A2","A1",0,49.6220388888889,-49.6220388888889
0,"A2","A2",0,64.6551222222222,-64.6551222222222
0,"A2","A3",0,61.2840777777778,-61.2840777777778
0,"A2","A4",0,61.8607111111111,-61.8607111111111
0,"A2","A5",0,157.26595,-157.26595
0,"A2","A6",0,140.589094444444,-140.589094444444
0,"A2","A2",27,49.2963444444445,-22.2963444444445
0,"A2","A2",57,109.3126,-52.3126
0,"A2","A2",87,190.951566666666,-103.951566666666
0,"A2","A2",149,170.052666666666,-21.0526666666663
0,"A2","A2",209,180.921672222222,28.078327777778
0,"A2","A2",267,259.423838888889,7.57616111111145
0,"A2","A2",326,256.144183333333,69.8558166666668
0,"A2","A2",390,288.319022222222,101.680977777778
0,"A2","A2",448,313.330605555556,134.669394444444
0,"A3","A1",0,55.5996444444444,-55.5996444444444
0,"A3","A2",0,59.2759111111111,-59.2759111111111
0,"A3","A3",0,61.3775333333333,-61.3775333333333
0,"A3","A4",0,58.7333555555555,-58.7333555555555
0,"A3","A5",0,118.225633333333,-118.225633333333
0,"A3","A6",0,94.9684111111111,-94.9684111111111
0,"A3","A3",27,53.25275,-26.25275
0,"A3","A3",57,151.592855555556,-94.5928555555556
0,"A3","A3",87,143.770905555556,-56.7709055555556
0,"A3","A3",149,180.794061111111,-31.7940611111109
0,"A3","A3",209,188.118327777777,20.8816722222225
0,"A3","A3",267,219.449388888889,47.550611111111
0,"A3","A3",326,334.479738888889,-8.4797388888889
0,"A3","A3",390,352.599244444445,37.4007555555554
0,"A3","A3",448,348.414622222223,99.585377777777
0,"A4","A1",0,43.3110722222222,-43.3110722222222
0,"A4","A2",0,47.6250222222222,-47.6250222222222
0,"A4","A3",0,52.4850388888889,-52.4850388888889
0,"A4","A4",0,50.0025111111111,-50.0025111111111
0,"A4","A5",0,112.363116666667,-112.363116666667
0,"A4","A6",0,88.7783444444444,-88.7783444444444
0,"A4","A4",27,71.9484777777778,-44.9484777777778
0,"A4","A4",57,74.5038222222222,-17.5038222222222
0,"A4","A4",87,93.7762444444445,-6.7762444444445
0,"A4","A4",149,312.078988888889,-163.078988888889
0,"A4","A4",209,151.767005555555,57.2329944444446
0,"A4","A4",267,219.348238888889,47.6517611111109
0,"A4","A4",326,243.542133333333,82.4578666666667
0,"A4","A4",390,224.102083333333,165.897916666667
0,"A4","A4",448,294.068494444445,153.931505555555
0,"A5","A1",0,53.1159833333333,-53.1159833333333
0,"A5","A2",0,69.0584055555555,-69.0584055555555
0,"A5","A3",0,66.6762055555555,-66.6762055555555
0,"A5","A4",0,66.8355166666666,-66.8355166666666
0,"A5","A5",0,103.023477777778,-103.023477777778
0,"A5","A6",0,89.4311111111111,-89.4311111111111
0,"A5","A5",27,56.2365666666667,-29.2365666666667
0,"A5","A5",57,68.77535,-11.77535
0,"A5","A5",87,153.999494444444,-66.9994944444444
0,"A5","A5",149,184.561327777778,-35.5613277777777
0,"A5","A5",209,181.779038888889,27.2209611111111
0,"A5","A5",267,348.58995,-81.5899499999998
0,"A5","A5",326,348.623638888889,-22.6236388888888
0,"A5","A5",390,293.165033333333,96.8349666666668
0,"A5","A5",448,303.993183333333,144.006816666667
0,"A6","A1",0,55.5282944444444,-55.5282944444444
0,"A6","A2",0,59.9458777777778,-59.9458777777778
0,"A6","A3",0,76.0578111111111,-76.0578111111111
0,"A6","A4",0,74.5061333333333,-74.5061333333333
0,"A6","A5",0,137.184344444444,-137.184344444444
0,"A6","A6",0,110.401927777778,-110.401927777778
0,"A6","A6",27,88.9480111111111,-61.9480111111111
0,"A6","A6",57,68.0953777777778,-11.0953777777778
0,"A6","A6",87,197.155294444444,-110.155294444444
0,"A6","A6",149,186.587733333333,-37.5877333333331
0,"A6","A6",209,254.781127777778,-45.7811277777777
0,"A6","A6",267,299.069372222222,-32.0693722222221
0,"A6","A6",326,351.289838888889,-25.2898388888889
0,"A6","A6",390,310.759816666667,79.2401833333334
0,"A6","A6",448,364.405177777778,83.5948222222223
27,"A1","A1",0,34.015,-34.015
27,"A1","A1",27,41.8606055555555,-14.8606055555555
27,"A1","A2",27,34.7561777777778,-7.75617777777777
27,"A1","A3",27,41.5635722222222,-14.5635722222222
27,"A1","A4",27,71.3643055555555,-44.3643055555555
27,"A1","A5",27,40.8180222222222,-13.8180222222222
27,"A1","A6",27,65.6023944444445,-38.6023944444445
27,"A1","A1",57,109.078477777778,-52.0784777777778
27,"A1","A1",87,115.973161111111,-28.9731611111111
27,"A1","A1",149,166.165816666666,-17.1658166666663
27,"A1","A1",209,190.764283333333,18.2357166666672
27,"A1","A1",267,265.839305555556,1.16069444444446
27,"A1","A1",326,291.846433333334,34.1535666666661
27,"A1","A1",390,314.605688888889,75.3943111111111
27,"A1","A1",448,352.782022222222,95.2179777777777
27,"A2","A2",0,26.6605833333333,-26.6605833333333
27,"A2","A1",27,33.6038111111111,-6.60381111111111
27,"A2","A2",27,33.8902388888889,-6.89023888888887
27,"A2","A3",27,41.7654944444444,-14.7654944444444
27,"A2","A4",27,74.4724111111111,-47.4724111111111
27,"A2","A5",27,29.2800111111111,-2.28001111111109
27,"A2","A6",27,72.90085,-45.90085
27,"A2","A2",57,70.8943166666667,-13.8943166666667
27,"A2","A2",87,190.844366666666,-103.844366666666
27,"A2","A2",149,170.507661111111,-21.5076611111107
27,"A2","A2",209,179.771122222222,29.2288777777779
27,"A2","A2",267,253.131216666666,13.8687833333335
27,"A2","A2",326,268.111472222222,57.8885277777779
27,"A2","A2",390,308.418772222222,81.5812277777778
27,"A2","A2",448,329.625072222222,118.374927777778
27,"A3","A3",0,29.3689,-29.3689
27,"A3","A1",27,40.3177055555555,-13.3177055555555
27,"A3","A2",27,39.9667833333333,-12.9667833333333
27,"A3","A3",27,50.3320777777778,-23.3320777777778
27,"A3","A4",27,78.8428611111111,-51.8428611111111
27,"A3","A5",27,41.8576222222222,-14.8576222222222
27,"A3","A6",27,67.1067666666667,-40.1067666666667
27,"A3","A3",57,166.448861111111,-109.448861111111
27,"A3","A3",87,137.670094444444,-50.6700944444443
27,"A3","A3",149,185.070077777778,-36.0700777777776
27,"A3","A3",209,189.911527777778,19.0884722222223
27,"A3","A3",267,214.710577777778,52.2894222222224
27,"A3","A3",326,332.611083333334,-6.61108333333362
27,"A3","A3",390,353.730683333333,36.2693166666668
27,"A3","A3",448,343.392611111112,104.607388888888
27,"A4","A4",0,29.7501888888889,-29.7501888888889
27,"A4","A1",27,30.8481666666667,-3.84816666666667
27,"A4","A2",27,40.5722888888889,-13.5722888888889
27,"A4","A3",27,37.28605,-10.28605
27,"A4","A4",27,72.2565388888889,-45.2565388888889
27,"A4","A5",27,32.1872611111111,-5.18726111111111
27,"A4","A6",27,67.0022722222222,-40.0022722222222
27,"A4","A4",57,77.2379166666667,-20.2379166666667
27,"A4","A4",87,74.16935,12.83065
27,"A4","A4",149,317.299,-168.299
27,"A4","A4",209,144.183061111111,64.816938888889
27,"A4","A4",267,211.457833333333,55.5421666666666
27,"A4","A4",326,241.197744444444,84.8022555555556
27,"A4","A4",390,214.085027777778,175.914972222222
27,"A4","A4",448,284.8453,163.1547
27,"A5","A5",0,80.4102944444443,-80.4102944444443
27,"A5","A1",27,37.836,-10.836
27,"A5","A2",27,36.9611944444444,-9.96119444444443
27,"A5","A3",27,49.8056944444444,-22.8056944444444
27,"A5","A4",27,74.1455055555555,-47.1455055555555
27,"A5","A5",27,29.42535,-2.42534999999999
27,"A5","A6",27,68.3311222222222,-41.3311222222222
27,"A5","A5",57,76.7132111111111,-19.7132111111111
27,"A5","A5",87,159.720438888889,-72.720438888889
27,"A5","A5",149,186.411394444444,-37.4113944444443
27,"A5","A5",209,182.5671,26.4329000000002
27,"A5","A5",267,345.767661111111,-78.7676611111109
27,"A5","A5",326,345.771833333333,-19.7718333333332
27,"A5","A5",390,285.175655555556,104.824344444444
27,"A5","A5",448,299.477172222222,148.522827777778
27,"A6","A6",0,37.2398388888889,-37.2398388888889
27,"A6","A1",27,35.0806277777778,-8.08062777777777
27,"A6","A2",27,39.9085555555556,-12.9085555555556
27,"A6","A3",27,42.2721833333333,-15.2721833333333
27,"A6","A4",27,71.8761722222222,-44.8761722222222
27,"A6","A5",27,36.3543944444444,-9.35439444444444
