days,degdays,subj,taxa,counts,fracBySubjDay
0,0,A1,Aerococcaceae,1083,0.05333924349881797
0,0,A1,Bacillaceae,200,0.009850275807722617
0,0,A1,Brevibacteriaceae,1107,0.05452127659574468
0,0,A1,Carnobacteriaceae,424,0.020882584712371945
0,0,A1,Clostridiaceae,2581,0.12711780929866037
0,0,A1,Corynebacteriaceae,1127,0.05550630417651694
0,0,A1,Dermabacteraceae,808,0.03979511426319937
0,0,A1,Dietziaceae,353,0.01738573680063042
0,0,A1,Enterobacteriaceae,88,0.004334121355397951
0,0,A1,Enterococcaceae,500,0.02462568951930654
0,0,A1,Moraxellaceae,954,0.04698581560283688
0,0,A1,Oxalobacteraceae,38,0.0018715524034672972
0,0,A1,Planococcaceae,729,0.03590425531914894
0,0,A1,Pseudomonadaceae,405,0.0199468085106383
0,0,A1,Rare,7160,0.35263987391646967
0,0,A1,Sphingobacteriaceae,184,0.009062253743104806
0,0,A1,Staphylococcaceae,816,0.04018912529550828
0,0,A1,Tissierellaceae,1140,0.05614657210401891
0,0,A1,Weeksellaceae,389,0.01915878644602049
0,0,A1,Xanthomonadaceae,218,0.010736800630417652
0,0,A2,Aerococcaceae,1003,0.024927305713646642
0,0,A2,Bacillaceae,374,0.009294927554241121
0,0,A2,Brevibacteriaceae,802,0.019931903471928823
0,0,A2,Carnobacteriaceae,1107,0.02751199145065487
0,0,A2,Clostridiaceae,4944,0.12287198349777569
0,0,A2,Corynebacteriaceae,1623,0.04033600914581107
0,0,A2,Dermabacteraceae,1043,0.02592141561249596
0,0,A2,Dietziaceae,1007,0.025026716703531574
0,0,A2,Enterobacteriaceae,92,0.002286452767353431
0,0,A2,Enterococcaceae,342,0.008499639635161668
0,0,A2,Moraxellaceae,4399,0.10932723612595373
0,0,A2,Oxalobacteraceae,169,0.004200114322638368
0,0,A2,Planococcaceae,1020,0.025349802420657604
0,0,A2,Pseudomonadaceae,62,0.0015408703432164426
0,0,A2,Rare,11796,0.2931630091706638
0,0,A2,Sphingobacteriaceae,1382,0.03434649700524393
0,0,A2,Staphylococcaceae,1524,0.03787558714615901
0,0,A2,Tissierellaceae,2142,0.05323458508338097
0,0,A2,Weeksellaceae,4875,0.12115714392226061
0,0,A2,Xanthomonadaceae,531,0.013196808907224694
0,0,A3,Aerococcaceae,3419,0.04962336173239089
0,0,A3,Bacillaceae,1089,0.01580574464070596
0,0,A3,Brevibacteriaceae,3242,0.04705438395332298
0,0,A3,Carnobacteriaceae,1689,0.024514143891783625
0,0,A3,Clostridiaceae,8276,0.12011785366986459
0,0,A3,Corynebacteriaceae,4322,0.06272950260526278
0,0,A3,Dermabacteraceae,2597,0.03769285475841449
0,0,A3,Dietziaceae,1454,0.02110335418511154
0,0,A3,Enterobacteriaceae,273,0.003962321659240337
0,0,A3,Enterococcaceae,1653,0.023991639936718965
0,0,A3,Moraxellaceae,3970,0.05762057504463055
0,0,A3,Oxalobacteraceae,56,8.12783930100582e-4
0,0,A3,Planococcaceae,2428,0.035239988969360946
0,0,A3,Pseudomonadaceae,227,0.0032946777166577164
0,0,A3,Rare,22393,0.32501197404897025
0,0,A3,Sphingobacteriaceae,513,0.007445681359671403
0,0,A3,Staphylococcaceae,3045,0.04419512619921915
0,0,A3,Tissierellaceae,5957,0.08645989056444942
0,0,A3,Weeksellaceae,1629,0.02364330396667586
0,0,A3,Xanthomonadaceae,667,0.009680837167448003
0,0,A4,Aerococcaceae,1865,0.04643114994896308
0,0,A4,Bacillaceae,615,0.015311076256628576
0,0,A4,Brevibacteriaceae,2467,0.06141857743919137
0,0,A4,Carnobacteriaceae,807,0.020091119575771154
0,0,A4,Clostridiaceae,4450,0.11078746234471083
0,0,A4,Corynebacteriaceae,2913,0.07252221973261633
0,0,A4,Dermabacteraceae,1946,0.048447730724226354
0,0,A4,Dietziaceae,751,0.01869694027435457
0,0,A4,Enterobacteriaceae,207,0.005153484203450594
0,0,A4,Enterococcaceae,771,0.01919486145343192
0,0,A4,Moraxellaceae,2575,0.06410735180620908
0,0,A4,Oxalobacteraceae,35,8.713620633853661e-4
0,0,A4,Planococcaceae,1416,0.03525281947867653
0,0,A4,Pseudomonadaceae,240,0.005975054148928224
0,0,A4,Rare,11347,0.2824955809495357
0,0,A4,Sphingobacteriaceae,762,0.018970796922847113
0,0,A4,Staphylococcaceae,2544,0.06333557397863918
0,0,A4,Tissierellaceae,2662,0.06627330893519556
