days,degdays,subj,taxa,counts,fracBySubjDay
0,0,A1,Actinobacteria,8321,0.29901538019261176
0,0,A1,Bacteroidetes,3643,0.13091131234727613
0,0,A1,Firmicutes,11817,0.4246442432082794
0,0,A1,Proteobacteria,2945,0.10582866177950266
0,0,A1,Rare,1102,0.03960040247233003
0,0,A2,Actinobacteria,13450,0.26249024199843873
0,0,A2,Bacteroidetes,10520,0.20530835284933646
0,0,A2,Firmicutes,18090,0.35304449648711944
0,0,A2,Proteobacteria,8273,0.161455893832943
0,0,A2,Rare,907,0.017701014832162375
0,0,A3,Actinobacteria,30685,0.3297653974702045
0,0,A3,Bacteroidetes,9181,0.09866632276923408
0,0,A3,Firmicutes,42384,0.45549214946642164
0,0,A3,Proteobacteria,8642,0.09287380038903396
0,0,A3,Rare,2159,0.023202329905105804
0,0,A4,Actinobacteria,18448,0.3388622545507981
0,0,A4,Bacteroidetes,7143,0.13120625998787677
0,0,A4,Firmicutes,20748,0.38110982531547916
0,0,A4,Proteobacteria,6345,0.11654818978343529
0,0,A4,Rare,1757,0.03227347036241068
0,0,A5,Actinobacteria,23320,0.29508902020828326
0,0,A5,Bacteroidetes,14330,0.18133043137155655
0,0,A5,Firmicutes,27990,0.35418274766851837
0,0,A5,Proteobacteria,10514,0.13304313715565566
0,0,A5,Rare,2873,0.03635466359598618
0,0,A6,Actinobacteria,14904,0.2516844824965804
0,0,A6,Bacteroidetes,6318,0.10669233497137647
0,0,A6,Firmicutes,16451,0.2778087373558269
0,0,A6,Proteobacteria,20606,0.3479743992434605
0,0,A6,Rare,938,0.015840045932755797
1,27,A1,Actinobacteria,15457,0.3456240776351684
1,27,A1,Bacteroidetes,3038,0.06793077232681902
1,27,A1,Firmicutes,22906,0.512186395957247
1,27,A1,Proteobacteria,2505,0.056012700684227
1,27,A1,Rare,816,0.018246053396538616
1,27,A2,Actinobacteria,18278,0.4074272212562971
1,27,A2,Bacteroidetes,2495,0.0556149971022246
1,27,A2,Firmicutes,19495,0.4345548571173822
1,27,A2,Proteobacteria,3738,0.08332218804333288
1,27,A2,Rare,856,0.01908073648076323
1,27,A3,Actinobacteria,5666,0.31547884187082403
1,27,A3,Bacteroidetes,1281,0.07132516703786192
1,27,A3,Firmicutes,9671,0.5384743875278396
1,27,A3,Proteobacteria,1065,0.05929844097995546
1,27,A3,Rare,277,0.015423162583518932
1,27,A4,Actinobacteria,18424,0.2953605437814614
1,27,A4,Bacteroidetes,1986,0.03183814806502293
1,27,A4,Firmicutes,26692,0.42790727500080156
1,27,A4,Proteobacteria,14899,0.23885023566000835
1,27,A4,Rare,377,0.006043797492705762
1,27,A5,Actinobacteria,23211,0.3847084562601518
1,27,A5,Bacteroidetes,6050,0.10027513508138032
1,27,A5,Firmicutes,24155,0.4003546922133457
1,27,A5,Proteobacteria,5340,0.08850730931149932
1,27,A5,Rare,1578,0.026154407133622833
1,27,A6,Actinobacteria,17513,0.42026829209762184
1,27,A6,Bacteroidetes,2918,0.07002471742938735
1,27,A6,Firmicutes,13834,0.3319814739267116
1,27,A6,Proteobacteria,6852,0.1644308991864846
1,27,A6,Rare,554,0.013294617359794581
2,57,A1,Actinobacteria,16118,0.27134223329573576
2,57,A1,Bacteroidetes,3958,0.06663187488426121
2,57,A1,Firmicutes,35018,0.5895186949714651
2,57,A1,Proteobacteria,2799,0.04712041884816754
2,57,A1,Rare,1508,0.025386778000370366
2,57,A2,Actinobacteria,21347,0.43781533286845237
2,57,A2,Bacteroidetes,499,0.010234217974486239
2,57,A2,Firmicutes,22602,0.4635546987161081
2,57,A2,Proteobacteria,3625,0.07434677386275072
2,57,A2,Rare,685,0.014048976578202551
2,57,A3,Actinobacteria,11288,0.2973343167211042
2,57,A3,Bacteroidetes,204,0.005373511747971763
2,57,A3,Firmicutes,24761,0.652223158782004
2,57,A3,Proteobacteria,951,0.025050047413338952
2,57,A3,Rare,760,0.020018965335581076
2,57,A4,Actinobacteria,19593,0.2521848815208577
2,57,A4,Bacteroidetes,3429,0.044135250279948
2,57,A4,Firmicutes,36214,0.46611663856460683
2,57,A4,Proteobacteria,17942,0.2309345758305124
2,57,A4,Rare,515,0.006628653804075013
2,57,A5,Actinobacteria,18746,0.41614313938775055
2,57,A5,Bacteroidetes,308,0.006837303261038471
2,57,A5,Firmicutes,21751,0.4828512442559993
2,57,A5,Proteobacteria,2960,0.06570914822296713
2,57,A5,Rare,1282,0.028459164872244546
2,57,A6,Actinobacteria,12391,0.3796262254901961
2,57,A6,Bacteroidetes,1945,0.05958946078431373
2,57,A6,Firmicutes,13164,0.4033088235294118
2,57,A6,Proteobacteria,4692,0.14375
2,57,A6,Rare,448,0.013725490196078431
3,87,A1,Actinobacteria,9240,0.1866968398933161
3,87,A1,Bacteroidetes,186,0.0037581831407096098
3,87,A1,Firmicutes,36823,0.744019235431989
3,87,A1,Proteobacteria,1705,0.03445001212317142
3,87,A1,Rare,1538,0.03107572941081387
3,87,A2,Actinobacteria,6841,0.2946547788258604
3,87,A2,Bacteroidetes,300,0.01292156609381057
3,87,A2,Firmicutes,12570,0.5414136193306629
3,87,A2,Proteobacteria,3302,0.142223370805875
3,87,A2,Rare,204,0.008786664943791187
3,87,A3,Actinobacteria,5304,0.1352716143840857
3,87,A3,Bacteroidetes,26,6.630961489415965e-4
3,87,A3,Firmicutes,10859,0.27694465697526144
3,87,A3,Proteobacteria,22735,0.5798265748533538
3,87,A3,Rare,286,0.007294057638357562
3,87,A4,Actinobacteria,11589,0.3072456851984411
3,87,A4,Bacteroidetes,650,0.01723269439804873
3,87,A4,Firmicutes,11868,0.3146424878708343
3,87,A4,Proteobacteria,13476,0.35727352262785333
3,87,A4,Rare,136,0.0036056099048225035
3,87,A5,Actinobacteria,1537,0.021096119796313328
3,87,A5,Bacteroidetes,20,2.7451034217714155e-4
3,87,A5,Firmicutes,64038,0.8789546646169895
3,87,A5,Proteobacteria,7160,0.09827470249941667
3,87,A5,Rare,102,0.0014000027451034217
3,87,A6,Actinobacteria,6324,0.1776005392046731
3,87,A6,Bacteroidetes,386,0.010840260615592002
3,87,A6,Firmicutes,19523,0.548275668389126
3,87,A6,Proteobacteria,9255,0.25991350258368906
3,87,A6,Rare,120,0.0033700292069197934
5,149,A1,Actinobacteria,1030,0.016391877267808264
5,149,A1,Bacteroidetes,20,3.182888789865682e-4
5,149,A1,Firmicutes,61387,0.9769399707174231
5,149,A1,Proteobacteria,358,0.005697370933859571
5,149,A1,Rare,41,6.524922019224648e-4
5,149,A2,Actinobacteria,650,0.016869095816464237
5,149,A2,Bacteroidetes,44,0.0011419080244991177
5,149,A2,Firmicutes,37471,0.9724644451365099
5,149,A2,Proteobacteria,358,0.009290978926606457
5,149,A2,Rare,9,2.3357209592027406e-4
5,149,A3,Actinobacteria,275,0.004772068648376629
5,149,A3,Bacteroidetes,7,1.214708383223142e-4
5,149,A3,Firmicutes,56513,0.9806687837298489
5,149,A3,Proteobacteria,819,0.01421208808371076
5,149,A3,Rare,13,2.2558869974144064e-4
5,149,A4,Actinobacteria,863,0.021916347106178735
5,149,A4,Bacteroidetes,4,1.0158214185946111e-4
5,149,A4,Firmicutes,38376,0.9745790689996698
5,149,A4,Proteobacteria,107,0.0027173222947405847
5,149,A4,Rare,27,6.856794575513625e-4
5,149,A5,Actinobacteria,1820,0.041701035652094216
5,149,A5,Bacteroidetes,18,4.124278251306021e-4
5,149,A5,Firmicutes,40592,0.9300705709834113
5,149,A5,Proteobacteria,1162,0.02662450737787554
5,149,A5,Rare,52,0.0011914581614884063
5,149,A6,Actinobacteria,998,0.02008169507213715
5,149,A6,Bacteroidetes,12,2.414632674004467e-4
5,149,A6,Firmicutes,48454,0.9749884298851037
5,149,A6,Proteobacteria,190,0.003823168400507073
5,149,A6,Rare,43,8.652433748516007e-4
7,209,A2,Actinobacteria,6871,0.1552101922338431
7,209,A2,Bacteroidetes,15,3.3883756127312567e-4
7,209,A2,Firmicutes,36038,0.8140685355440602
7,209,A2,Proteobacteria,1333,0.0301113646118051
7,209,A2,Rare,12,2.710700490185005e-4
7,209,A3,Actinobacteria,1441,0.022085306604135057
7,209,A3,Bacteroidetes,28,4.29138504452312e-4
7,209,A3,Firmicutes,63143,0.9677533066654406
7,209,A3,Proteobacteria,550,0.008429506337456129
7,209,A3,Rare,85,0.001302741888515947
7,209,A5,Actinobacteria,746,0.0203253140070294
7,209,A5,Bacteroidetes,7,1.9072010462360025e-4
7,209,A5,Firmicutes,34863,0.9498678582132251
7,209,A5,Proteobacteria,1065,0.029016701632019182
7,209,A5,Rare,22,5.994060431027436e-4
7,209,A6,Actinobacteria,909,0.029540801403919275
7,209,A6,Bacteroidetes,3,9.749439407234084e-5
7,209,A6,Firmicutes,29625,0.9627571414643658
7,209,A6,Proteobacteria,199,0.0064671281401319424
7,209,A6,Rare,35,0.001137434597510643
9,267,A2,Actinobacteria,4215,0.11692743009320905
9,267,A2,Bacteroidetes,9,2.496671105193076e-4
9,267,A2,Firmicutes,31500,0.8738348868175766
9,267,A2,Proteobacteria,312,0.008655126498002663
9,267,A2,Rare,12,3.3288948069241014e-4
9,267,A3,Actinobacteria,1768,0.03410625409930939
9,267,A3,Bacteroidetes,165,0.003182993171032833
9,267,A3,Firmicutes,47716,0.9204830433272888
9,267,A3,Proteobacteria,2119,0.04087734866314287
9,267,A3,Rare,70,0.0013503607392260505
9,267,A4,Actinobacteria,455,0.014171805892979505
9,267,A4,Bacteroidetes,4,1.2458730455366598e-4
9,267,A4,Firmicutes,31563,0.9830872734068399
9,267,A4,Proteobacteria,78,0.0024294524387964865
9,267,A4,Rare,6,1.8688095683049897e-4
9,267,A5,Actinobacteria,7769,0.1675545107511808
9,267,A5,Bacteroidetes,400,0.008626825112687904
9,267,A5,Firmicutes,34873,0.7521081803869131
9,267,A5,Proteobacteria,3294,0.07104190480298488
9,267,A5,Rare,31,6.685789462333125e-4
9,267,A6,Actinobacteria,1109,0.03530722699777141
