days,degdays,subj,taxa,counts,fracBySubjDay
0,0,A1,Actinomycetaceae,30,0.0014775413711583924
0,0,A1,Aerococcaceae,1083,0.05333924349881797
0,0,A1,Alcaligenaceae,39,0.0019208037825059101
0,0,A1,Bacillaceae,200,0.009850275807722617
0,0,A1,Bifidobacteriaceae,179,0.008815996847911742
0,0,A1,Bradyrhizobiaceae,44,0.0021670606776989757
0,0,A1,Brevibacteriaceae,1107,0.05452127659574468
0,0,A1,Carnobacteriaceae,424,0.020882584712371945
0,0,A1,Caulobacteraceae,47,0.0023148148148148147
0,0,A1,Christensenellaceae,243,0.011968085106382979
0,0,A1,Clostridiaceae,2581,0.12711780929866037
0,0,A1,Comamonadaceae,172,0.00847123719464145
0,0,A1,Corynebacteriaceae,1127,0.05550630417651694
0,0,A1,Dermabacteraceae,808,0.03979511426319937
0,0,A1,Dietziaceae,353,0.01738573680063042
0,0,A1,Enterobacteriaceae,88,0.004334121355397951
0,0,A1,Enterococcaceae,500,0.02462568951930654
0,0,A1,Flavobacteriaceae,342,0.016843971631205674
0,0,A1,Fusobacteriaceae,0,0
0,0,A1,Intrasporangiaceae,279,0.01374113475177305
0,0,A1,Lachnospiraceae,461,0.022704885736800632
0,0,A1,Lactobacillaceae,719,0.03541174152876281
0,0,A1,Leuconostocaceae,49,0.002413317572892041
0,0,A1,Listeriaceae,6,2.955082742316785e-4
0,0,A1,Methylobacteriaceae,15,7.387706855791962e-4
0,0,A1,Microbacteriaceae,132,0.0065011820330969266
0,0,A1,Micrococcaceae,307,0.015120173364854215
0,0,A1,Moraxellaceae,954,0.04698581560283688
0,0,A1,Oxalobacteraceae,38,0.0018715524034672972
0,0,A1,Paraprevotellaceae,457,0.02250788022064618
0,0,A1,Peptostreptococcaceae,122,0.006008668242710796
0,0,A1,Planococcaceae,729,0.03590425531914894
0,0,A1,Porphyromonadaceae,74,0.003644602048857368
0,0,A1,Prevotellaceae,259,0.012756107171000787
0,0,A1,Pseudomonadaceae,405,0.0199468085106383
0,0,A1,Rare,1298,0.06392828999211977
0,0,A1,Rhizobiaceae,42,0.0020685579196217494
0,0,A1,Rhodobacteraceae,130,0.0064026792750197
0,0,A1,Rhodospirillaceae,6,2.955082742316785e-4
0,0,A1,Rikenellaceae,0,0
0,0,A1,Ruminococcaceae,714,0.03516548463356974
0,0,A1,Sphingobacteriaceae,184,0.009062253743104806
0,0,A1,Sphingomonadaceae,95,0.0046788810086682425
0,0,A1,Staphylococcaceae,816,0.04018912529550828
0,0,A1,Streptococcaceae,330,0.016252955082742316
0,0,A1,Streptomycetaceae,0,0
0,0,A1,Tissierellaceae,1140,0.05614657210401891
0,0,A1,Turicibacteraceae,273,0.013445626477541371
0,0,A1,Veillonellaceae,296,0.014578408195429472
0,0,A1,Verrucomicrobiaceae,0,0
0,0,A1,Weeksellaceae,389,0.01915878644602049
0,0,A1,Xanthomonadaceae,218,0.010736800630417652
0,0,A2,Actinomycetaceae,86,0.002137336282526033
0,0,A2,Aerococcaceae,1003,0.024927305713646642
0,0,A2,Alcaligenaceae,64,0.0015905758381589085
0,0,A2,Bacillaceae,374,0.009294927554241121
0,0,A2,Bifidobacteriaceae,233,0.005790690160797276
0,0,A2,Bradyrhizobiaceae,12,2.982329696547953e-4
0,0,A2,Brevibacteriaceae,802,0.019931903471928823
0,0,A2,Carnobacteriaceae,1107,0.02751199145065487
0,0,A2,Caulobacteraceae,414,0.01028903745309044
0,0,A2,Christensenellaceae,194,0.004821433009419191
0,0,A2,Clostridiaceae,4944,0.12287198349777569
0,0,A2,Comamonadaceae,569,0.014141213311131546
