numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
300,6,48603.922746439384,0.1690297130582193
600,6,48448.95664636925,0.16836051771576926
1500,6,48343.29164606539,0.16807638682592932
3e3,6,48372.82503042339,0.16824159660870425
300,7,48129.217828818335,0.1674128654009744
600,7,48023.53659195305,0.16717710547059716
1500,7,47954.29592194506,0.167003965777288
3e3,7,47906.692375979175,0.166786637971591
300,8,48018.05944356074,0.16745724283282193
600,8,47825.24460224288,0.1667654587490506
1500,8,47686.699900735526,0.16630276833403043
3e3,8,47686.65534729521,0.16619667534243254
300,9,47981.70406534093,0.167644863188693
600,9,47858.582151348506,0.16714204312421466
1500,9,47701.029628799326,0.1665579756911589
3e3,9,47650.377989761975,0.16633921933919288
300,10,48015.00728079412,0.16784984908214515
600,10,47938.29792991893,0.16751303538363024
1500,10,47692.160251383364,0.1667055885835809
3e3,10,47745.85595928876,0.16687827434629682
300,11,48133.165963743566,0.16849868666940823
600,11,48116.02608672554,0.16836189171638996
1500,11,47921.51340293979,0.1676904557025022
3e3,11,47883.05805029199,0.16763431426043565
300,12,48484.31915124344,0.16994168887003586
600,12,48356.946717662664,0.16945563726801072
1500,12,48296.65705986237,0.16925674130201204
3e3,12,48142.83173693956,0.1686994716514115
