numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
600,6,57112.56101916347,0.1864994533297327
1200,6,56993.42610238158,0.18614951485281955
1800,6,56967.24026758443,0.18602657902157052
2400,6,56930.36277773185,0.18591369025522325
3e3,6,56948.07496364051,0.18595629106440487
600,7,56525.15378045476,0.18470022859905444
1200,7,56495.12046847924,0.18460752840020497
1800,7,56399.72103650237,0.1843102395160597
2400,7,56365.804734773315,0.18417249317357343
3e3,7,56367.71342640476,0.1842002752434533
600,8,56365.00983318398,0.18430563919703682
1200,8,56098.849777310956,0.1833989424652145
1800,8,56096.806580190976,0.1834314064367448
2400,8,56111.65453447252,0.18347611040157405
3e3,8,56098.25435854593,0.1834194539689406
600,9,56084.2236881356,0.18347977048296688
1200,9,56016.116847272046,0.1832445740219085
1800,9,55970.30002983055,0.18311885680412843
2400,9,55993.06627842386,0.18319011388349069
3e3,9,55942.975367273655,0.1830044126375871
600,10,56190.849938765736,0.18393410777356903
1200,10,56064.799482675524,0.18355034950992632
1800,10,55981.008516623195,0.18325265141774646
2400,10,55934.42869957249,0.18310058199039475
3e3,10,55924.610456671544,0.18305180769881962
600,11,56215.145453889985,0.1841264809449871
1200,11,56076.4671484726,0.18366314871373338
1800,11,56100.616625851326,0.18375941601441473
2400,11,56046.8585961945,0.18355667799375466
3e3,11,56057.40182583316,0.18360469883872307
600,12,56334.62906185473,0.18465293091097673
1200,12,56281.77348416714,0.18443998303185896
1800,12,56228.43343153744,0.18423433946349121
2400,12,56289.88461611017,0.18443309832515198
3e3,12,56255.081035263,0.1843491497436624
