"days","degdays","subj","taxa","counts","fracBySubjDay"
0,0,"A1","Aerococcaceae",1083,0.053339243498818
0,0,"A1","Bacillaceae",200,0.00985027580772262
0,0,"A1","Bifidobacteriaceae",179,0.00881599684791174
0,0,"A1","Brevibacteriaceae",1107,0.0545212765957447
0,0,"A1","Carnobacteriaceae",424,0.0208825847123719
0,0,"A1","Caulobacteraceae",47,0.00231481481481481
0,0,"A1","Christensenellaceae",243,0.011968085106383
0,0,"A1","Clostridiaceae",2581,0.12711780929866
0,0,"A1","Comamonadaceae",172,0.00847123719464145
0,0,"A1","Corynebacteriaceae",1127,0.0555063041765169
0,0,"A1","Dermabacteraceae",808,0.0397951142631994
0,0,"A1","Dietziaceae",353,0.0173857368006304
0,0,"A1","Enterobacteriaceae",88,0.00433412135539795
0,0,"A1","Enterococcaceae",500,0.0246256895193065
0,0,"A1","Flavobacteriaceae",342,0.0168439716312057
0,0,"A1","Intrasporangiaceae",279,0.0137411347517731
0,0,"A1","Lachnospiraceae",461,0.0227048857368006
0,0,"A1","Lactobacillaceae",719,0.0354117415287628
0,0,"A1","Micrococcaceae",307,0.0151201733648542
0,0,"A1","Moraxellaceae",954,0.0469858156028369
0,0,"A1","Paraprevotellaceae",457,0.0225078802206462
0,0,"A1","Peptostreptococcaceae",122,0.0060086682427108
0,0,"A1","Planococcaceae",729,0.0359042553191489
0,0,"A1","Porphyromonadaceae",74,0.00364460204885737
0,0,"A1","Prevotellaceae",259,0.0127561071710008
0,0,"A1","Pseudomonadaceae",405,0.0199468085106383
0,0,"A1","Rare",1794,0.0883569739952719
0,0,"A1","Rhodobacteraceae",130,0.0064026792750197
0,0,"A1","Ruminococcaceae",714,0.0351654846335697
0,0,"A1","Sphingobacteriaceae",184,0.00906225374310481
0,0,"A1","Staphylococcaceae",816,0.0401891252955083
0,0,"A1","Streptococcaceae",330,0.0162529550827423
0,0,"A1","Streptomycetaceae",0,0
0,0,"A1","Tissierellaceae",1140,0.0561465721040189
0,0,"A1","Turicibacteraceae",273,0.0134456264775414
0,0,"A1","Veillonellaceae",296,0.0145784081954295
0,0,"A1","Weeksellaceae",389,0.0191587864460205
0,0,"A1","Xanthomonadaceae",218,0.0107368006304177
0,0,"A2","Aerococcaceae",1003,0.0249273057136466
0,0,"A2","Bacillaceae",374,0.00929492755424112
0,0,"A2","Bifidobacteriaceae",233,0.00579069016079728
0,0,"A2","Brevibacteriaceae",802,0.0199319034719288
0,0,"A2","Carnobacteriaceae",1107,0.0275119914506549
0,0,"A2","Caulobacteraceae",414,0.0102890374530904
0,0,"A2","Christensenellaceae",194,0.00482143300941919
0,0,"A2","Clostridiaceae",4944,0.122871983497776
0,0,"A2","Comamonadaceae",569,0.0141412133111315
0,0,"A2","Corynebacteriaceae",1623,0.0403360091458111
0,0,"A2","Dermabacteraceae",1043,0.025921415612496
0,0,"A2","Dietziaceae",1007,0.0250267167035316
0,0,"A2","Enterobacteriaceae",92,0.00228645276735343
0,0,"A2","Enterococcaceae",342,0.00849963963516167
0,0,"A2","Flavobacteriaceae",886,0.0220195342595124
0,0,"A2","Intrasporangiaceae",447,0.0111091781196411
0,0,"A2","Lachnospiraceae",677,0.0168253100380247
0,0,"A2","Lactobacillaceae",541,0.013445336381937
0,0,"A2","Micrococcaceae",1049,0.0260705320973234
0,0,"A2","Moraxellaceae",4399,0.109327236125954
0,0,"A2","Paraprevotellaceae",606,0.0150607649675672
0,0,"A2","Peptostreptococcaceae",152,0.00377761761562741
0,0,"A2","Planococcaceae",1020,0.0253498024206576
0,0,"A2","Porphyromonadaceae",222,0.00551730993861371
0,0,"A2","Prevotellaceae",275,0.00683450555458906
0,0,"A2","Pseudomonadaceae",62,0.00154087034321644
0,0,"A2","Rare",2615,0.0649899346372741
0,0,"A2","Rhodobacteraceae",646,0.0160548748664165
0,0,"A2","Ruminococcaceae",1087,0.0270149365012302
0,0,"A2","Sphingobacteriaceae",1382,0.0343464970052439
0,0,"A2","Staphylococcaceae",1524,0.037875587146159
0,0,"A2","Streptococcaceae",292,0.00725700226160002
0,0,"A2","Streptomycetaceae",9,0.000223674727241097
0,0,"A2","Tissierellaceae",2142,0.053234585083381
0,0,"A2","Turicibacteraceae",460,0.0114322638367672
0,0,"A2","Veillonellaceae",591,0.0146879737554987
0,0,"A2","Weeksellaceae",4875,0.121157143922261
0,0,"A2","Xanthomonadaceae",531,0.0131968089072247
0,0,"A3","Aerococcaceae",3419,0.0496233617323909
0,0,"A3","Bacillaceae",1089,0.015805744640706
0,0,"A3","Bifidobacteriaceae",792,0.0114950870114225
0,0,"A3","Brevibacteriaceae",3242,0.047054383953323
0,0,"A3","Carnobacteriaceae",1689,0.0245141438917836
0,0,"A3","Caulobacteraceae",216,0.00313502373038796
0,0,"A3","Christensenellaceae",774,0.0112338350338902
0,0,"A3","Clostridiaceae",8276,0.120117853669865
0,0,"A3","Comamonadaceae",499,0.00724248537714626
0,0,"A3","Corynebacteriaceae",4322,0.0627295026052628
0,0,"A3","Dermabacteraceae",2597,0.0376928547584145
0,0,"A3","Dietziaceae",1454,0.0211033541851115
0,0,"A3","Enterobacteriaceae",273,0.00396232165924034
0,0,"A3","Enterococcaceae",1653,0.023991639936719
0,0,"A3","Flavobacteriaceae",747,0.0108419570675917
0,0,"A3","Intrasporangiaceae",1155,0.0167636685583245
0,0,"A3","Lachnospiraceae",1220,0.0177070784771912
0,0,"A3","Lactobacillaceae",2274,0.0330048331615843
0,0,"A3","Micrococcaceae",1158,0.0168072105545799
0,0,"A3","Moraxellaceae",3970,0.0576205750446305
0,0,"A3","Paraprevotellaceae",1120,0.0162556786020116
0,0,"A3","Peptostreptococcaceae",575,0.00834554928228276
0,0,"A3","Planococcaceae",2428,0.0352399889693609
0,0,"A3","Porphyromonadaceae",247,0.00358495769169364
0,0,"A3","Prevotellaceae",1108,0.0160815106169901
0,0,"A3","Pseudomonadaceae",227,0.00329467771665772
0,0,"A3","Rare",4972,0.0721636017939303
0,0,"A3","Rhodobacteraceae",266,0.00386072366797776
0,0,"A3","Ruminococcaceae",1943,0.0282006995747398
0,0,"A3","Sphingobacteriaceae",513,0.0074456813596714
0,0,"A3","Staphylococcaceae",3045,0.0441951261992191
0,0,"A3","Streptococcaceae",1280,0.018577918402299
0,0,"A3","Streptomycetaceae",145,0.00210452981901044
0,0,"A3","Tissierellaceae",5957,0.0864598905644494
0,0,"A3","Turicibacteraceae",947,0.0137447568179509
