"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,35.3015555555556,-35.3015555555556
0,"A1","A2",0,36.0194333333333,-36.0194333333333
0,"A1","A3",0,32.8358333333333,-32.8358333333333
0,"A1","A4",0,32.4270888888889,-32.4270888888889
0,"A1","A5",0,34.7754,-34.7754
0,"A1","A6",0,44.2799888888889,-44.2799888888889
0,"A1","A1",27,37.2553,-10.2553
0,"A1","A1",57,45.4987277777778,11.5012722222222
0,"A1","A1",87,68.0521777777778,18.9478222222222
0,"A1","A1",149,201.367527777778,-52.3675277777778
0,"A1","A1",326,351.692744444445,-25.6927444444446
0,"A1","A1",390,358.805311111112,31.1946888888885
0,"A1","A1",448,320.861577777778,127.138422222222
0,"A2","A1",0,39.3768277777778,-39.3768277777778
0,"A2","A2",0,39.2345666666667,-39.2345666666667
0,"A2","A3",0,35.4542666666667,-35.4542666666667
0,"A2","A4",0,34.8577666666667,-34.8577666666667
0,"A2","A5",0,38.3253666666667,-38.3253666666667
0,"A2","A6",0,43.2239,-43.2239
0,"A2","A2",27,35.7237333333333,-8.72373333333334
0,"A2","A2",57,73.2431999999999,-16.2431999999999
0,"A2","A2",87,80.2728999999999,6.72710000000008
0,"A2","A2",149,217.209077777777,-68.2090777777774
0,"A2","A2",209,269.372805555555,-60.3728055555551
0,"A2","A2",267,284.872588888888,-17.8725888888883
0,"A2","A2",326,311.755983333333,14.2440166666668
0,"A2","A2",390,291.154655555555,98.8453444444447
0,"A2","A2",448,275.555616666667,172.444383333333
0,"A3","A1",0,44.6622055555556,-44.6622055555556
0,"A3","A2",0,40.4065222222222,-40.4065222222222
0,"A3","A3",0,36.6492555555556,-36.6492555555556
0,"A3","A4",0,39.1344388888889,-39.1344388888889
0,"A3","A5",0,41.4513055555556,-41.4513055555556
0,"A3","A6",0,44.4372888888889,-44.4372888888889
0,"A3","A3",27,48.6147944444444,-21.6147944444444
0,"A3","A3",57,104.566366666667,-47.5663666666666
0,"A3","A3",87,162.060338888889,-75.060338888889
0,"A3","A3",149,245.587511111111,-96.5875111111106
0,"A3","A3",209,269.343916666666,-60.3439166666662
0,"A3","A3",267,342.898827777778,-75.8988277777776
0,"A3","A3",326,333.629055555555,-7.62905555555545
0,"A3","A3",390,389.245394444444,0.75460555555577
0,"A3","A3",448,368.932177777778,79.0678222222223
0,"A4","A1",0,38.4888111111111,-38.4888111111111
0,"A4","A2",0,47.6567555555555,-47.6567555555555
0,"A4","A3",0,36.1276,-36.1276
0,"A4","A4",0,34.6894888888889,-34.6894888888889
0,"A4","A5",0,37.7668222222222,-37.7668222222222
0,"A4","A6",0,55.9071444444444,-55.9071444444444
0,"A4","A4",27,71.3529333333333,-44.3529333333333
0,"A4","A4",57,75.2981777777777,-18.2981777777777
0,"A4","A4",87,138.019355555556,-51.0193555555556
0,"A4","A4",149,206.461444444444,-57.4614444444443
0,"A4","A4",267,240.192838888888,26.8071611111116
0,"A4","A4",326,211.505705555555,114.494294444445
0,"A4","A4",390,210.6168,179.3832
0,"A4","A4",448,314.56545,133.43455
0,"A5","A1",0,34.7612777777778,-34.7612777777778
0,"A5","A2",0,39.4298555555556,-39.4298555555556
0,"A5","A3",0,35.4298333333333,-35.4298333333333
0,"A5","A4",0,34.8698666666667,-34.8698666666667
0,"A5","A5",0,35.9250777777778,-35.9250777777778
0,"A5","A6",0,44.6322555555556,-44.6322555555556
0,"A5","A5",27,34.1912166666667,-7.19121666666666
0,"A5","A5",57,101.512983333333,-44.5129833333333
0,"A5","A5",87,243.930288888889,-156.930288888889
0,"A5","A5",149,236.988094444444,-87.9880944444443
0,"A5","A5",209,239.108444444444,-30.1084444444443
0,"A5","A5",267,321.379383333333,-54.3793833333331
0,"A5","A5",326,326.737461111111,-0.737461111110861
0,"A5","A5",390,348.697516666666,41.3024833333336
0,"A5","A5",448,373.260316666667,74.7396833333332
0,"A6","A1",0,37.0033333333333,-37.0033333333333
0,"A6","A2",0,38.4653777777778,-38.4653777777778
0,"A6","A3",0,34.2001,-34.2001
0,"A6","A4",0,34.6490888888889,-34.6490888888889
0,"A6","A5",0,38.0036444444444,-38.0036444444444
0,"A6","A6",0,44.9244111111111,-44.9244111111111
0,"A6","A6",27,38.1779666666667,-11.1779666666667
0,"A6","A6",57,45.2593222222222,11.7406777777778
0,"A6","A6",87,118.013338888889,-31.013338888889
0,"A6","A6",149,203.041816666666,-54.0418166666661
0,"A6","A6",209,224.960044444444,-15.9600444444438
0,"A6","A6",267,212.980961111111,54.0190388888888
0,"A6","A6",326,296.382027777777,29.6179722222226
0,"A6","A6",390,336.913122222222,53.0868777777781
0,"A6","A6",448,352.595427777778,95.4045722222223
27,"A1","A1",0,10.4166722222222,-10.4166722222222
27,"A1","A1",27,25.9622388888889,1.03776111111112
27,"A1","A2",27,26.7567111111111,0.243288888888898
27,"A1","A3",27,26.4513888888889,0.548611111111118
27,"A1","A4",27,63.5447388888889,-36.5447388888889
27,"A1","A5",27,15.1251611111111,11.8748388888889
27,"A1","A6",27,30.5786833333333,-3.57868333333332
27,"A1","A1",57,32.2515166666667,24.7484833333333
27,"A1","A1",87,67.9567,19.0433
27,"A1","A1",149,207.841616666666,-58.841616666666
27,"A1","A1",326,351.991483333333,-25.9914833333333
27,"A1","A1",390,360.325416666667,29.6745833333335
27,"A1","A1",448,319.018644444444,128.981355555556
27,"A2","A2",0,18.5099444444445,-18.5099444444445
27,"A2","A1",27,35.3210611111111,-8.3210611111111
27,"A2","A2",27,33.1996944444444,-6.19969444444443
27,"A2","A3",27,33.8231666666667,-6.82316666666666
27,"A2","A4",27,63.991,-36.991
27,"A2","A5",27,19.0238111111111,7.97618888888888
27,"A2","A6",27,31.6508166666667,-4.65081666666666
27,"A2","A2",57,76.3286888888889,-19.3286888888889
27,"A2","A2",87,82.7787277777778,4.22127222222224
27,"A2","A2",149,215.193972222222,-66.193972222222
27,"A2","A2",209,263.820311111111,-54.820311111111
27,"A2","A2",267,280.630583333333,-13.6305833333332
27,"A2","A2",326,317.944883333333,8.05511666666661
27,"A2","A2",390,299.03025,90.9697499999999
27,"A2","A2",448,276.062894444445,171.937105555555
27,"A3","A3",0,27.5615666666667,-27.5615666666667
27,"A3","A1",27,43.3596611111111,-16.3596611111111
27,"A3","A2",27,42.5121777777777,-15.5121777777777
27,"A3","A3",27,44.2267722222222,-17.2267722222222
27,"A3","A4",27,65.1889388888889,-38.1889388888889
27,"A3","A5",27,21.2685944444445,5.73140555555554
27,"A3","A6",27,29.5259611111111,-2.5259611111111
27,"A3","A3",57,116.164644444444,-59.1646444444445
27,"A3","A3",87,158.3272,-71.3272000000001
27,"A3","A3",149,245.170083333333,-96.1700833333328
27,"A3","A3",209,274.955938888889,-65.9559388888885
27,"A3","A3",267,346.138483333334,-79.1384833333336
27,"A3","A3",326,337.210477777778,-11.2104777777778
27,"A3","A3",390,390.915372222222,-0.915372222222004
27,"A3","A3",448,371.573383333333,76.4266166666668
27,"A4","A4",0,14.6706722222222,-14.6706722222222
27,"A4","A1",27,38.3051888888889,-11.3051888888889
27,"A4","A2",27,31.48735,-4.48734999999999
27,"A4","A3",27,41.8719,-14.8719
27,"A4","A4",27,66.5476277777778,-39.5476277777778
27,"A4","A5",27,21.4608722222222,5.53912777777777
27,"A4","A6",27,26.7627944444444,0.237205555555562
27,"A4","A4",57,63.8873111111111,-6.8873111111111
27,"A4","A4",87,125.626433333333,-38.6264333333334
27,"A4","A4",149,207.965072222222,-58.9650722222221
27,"A4","A4",267,244.140261111111,22.8597388888893
27,"A4","A4",326,212.845088888888,113.154911111112
27,"A4","A4",390,205.483261111111,184.516738888889
27,"A4","A4",448,316.069822222223,131.930177777777
27,"A5","A5",0,5.91367777777777,-5.91367777777777
27,"A5","A1",27,33.3066833333333,-6.30668333333332
27,"A5","A2",27,31.0981055555556,-4.09810555555556
27,"A5","A3",27,35.7667833333333,-8.76678333333332
27,"A5","A4",27,64.0778666666667,-37.0778666666667
27,"A5","A5",27,20.3644,6.63559999999999
27,"A5","A6",27,27.0955055555556,-0.0955055555555546
27,"A5","A5",57,101.507566666667,-44.5075666666666
27,"A5","A5",87,240.798211111111,-153.798211111111
27,"A5","A5",149,235.870811111111,-86.870811111111
27,"A5","A5",209,244.473133333333,-35.4731333333331
27,"A5","A5",267,328.025305555556,-61.0253055555555
27,"A5","A5",326,323.602905555556,2.39709444444446
27,"A5","A5",390,344.751038888889,45.2489611111114
27,"A5","A5",448,368.730916666667,79.2690833333332
27,"A6","A6",0,43.9903444444444,-43.9903444444444
27,"A6","A1",27,28.2015944444445,-1.20159444444445
27,"A6","A2",27,41.5692166666667,-14.5692166666667
27,"A6","A3",27,29.0982277777778,-2.09822777777778
27,"A6","A4",27,66.9292388888889,-39.9292388888889
27,"A6","A5",27,21.2753833333333,5.72461666666666
27,"A6","A6",27,37.2020722222222,-10.2020722222222
27,"A6","A6",57,49.1184611111111,7.88153888888891
27,"A6","A6",87,116.363511111111,-29.3635111111111
27,"A6","A6",149,204.116894444444,-55.116894444444
27,"A6","A6",209,224.074333333333,-15.0743333333329
27,"A6","A6",267,215.77275,51.2272500000002
27,"A6","A6",326,295.427533333333,30.5724666666671
27,"A6","A6",390,337.672166666666,52.3278333333335
27,"A6","A6",448,356.793888888889,91.2061111111111
57,"A1","A1",0,12.4219666666667,-12.4219666666667
57,"A1","A1",27,60.5353611111111,-33.5353611111111
57,"A1","A1",57,74.4101333333333,-17.4101333333333
57,"A1","A2",57,99.2339555555556,-42.2339555555556
57,"A1","A3",57,136.726333333333,-79.7263333333333
57,"A1","A4",57,61.5985777777777,-4.59857777777771
57,"A1","A5",57,126.138188888889,-69.1381888888889
57,"A1","A6",57,29.1757166666667,27.8242833333333
57,"A1","A1",87,117.070172222222,-30.0701722222223
57,"A1","A1",149,206.634477777778,-57.6344777777775
57,"A1","A1",326,339.277722222222,-13.2777222222221
57,"A1","A1",390,363.310594444445,26.6894055555554
57,"A1","A1",448,323.641016666666,124.358983333334
57,"A2","A2",0,13.4372333333333,-13.4372333333333
57,"A2","A2",27,22.1185166666666,4.88148333333335
57,"A2","A1",57,34.4870611111111,22.5129388888889
57,"A2","A2",57,74.3945333333333,-17.3945333333333
57,"A2","A3",57,99.9012277777778,-42.9012277777778
57,"A2","A4",57,51.8632222222222,5.13677777777781
57,"A2","A5",57,101.648011111111,-44.6480111111111
57,"A2","A6",57,29.0338166666666,27.9661833333334
57,"A2","A2",87,79.523261111111,7.476738888889
57,"A2","A2",149,212.52875,-63.5287499999996
57,"A2","A2",209,266.048438888889,-57.0484388888889
57,"A2","A2",267,280.3562,-13.3561999999998
57,"A2","A2",326,317.483811111111,8.51618888888891
57,"A2","A2",390,297.59635,92.4036500000001
57,"A2","A2",448,276.981055555555,171.018944444445
57,"A3","A3",0,15.7705833333333,-15.7705833333333
57,"A3","A3",27,32.8183222222222,-5.81832222222221
57,"A3","A1",57,39.1834166666667,17.8165833333333
57,"A3","A2",57,80.1790722222221,-23.1790722222221
57,"A3","A3",57,120.536094444445,-63.5360944444445
57,"A3","A4",57,59.5644777777777,-2.56447777777775
57,"A3","A5",57,130.089138888889,-73.089138888889
57,"A3","A6",57,28.4663333333333,28.5336666666667
57,"A3","A3",87,176.233955555556,-89.2339555555559
57,"A3","A3",149,244.363177777778,-95.3631777777776
57,"A3","A3",209,268.275194444444,-59.275194444444
57,"A3","A3",267,341.498683333333,-74.4986833333333
57,"A3","A3",326,336.361444444444,-10.3614444444441
57,"A3","A3",390,387.670027777777,2.32997222222258
57,"A3","A3",448,367.191511111111,80.8084888888889
57,"A4","A4",0,17.5596555555556,-17.5596555555556
57,"A4","A4",27,63.9525444444443,-36.9525444444443
57,"A4","A1",57,33.2045111111111,23.7954888888889
57,"A4","A2",57,77.0078222222221,-20.0078222222221
57,"A4","A3",57,104.330088888889,-47.3300888888888
57,"A4","A4",57,65.950311111111,-8.95031111111098
57,"A4","A5",57,113.716077777778,-56.7160777777777
57,"A4","A6",57,27.4285166666667,29.5714833333333
57,"A4","A4",87,142.212444444444,-55.2124444444445
57,"A4","A4",149,205.373372222222,-56.3733722222218
57,"A4","A4",267,241.700727777777,25.2992722222226
57,"A4","A4",326,212.9945,113.0055
57,"A4","A4",390,206.764411111111,183.235588888889
57,"A4","A4",448,314.284877777778,133.715122222222
57,"A5","A5",0,6.27965555555555,-6.27965555555555
57,"A5","A5",27,15.2877166666667,11.7122833333333
57,"A5","A1",57,34.2821388888889,22.7178611111111
57,"A5","A2",57,80.5469833333333,-23.5469833333333
57,"A5","A3",57,118.203027777778,-61.2030277777778
57,"A5","A4",57,54.4765222222222,2.52347777777779
57,"A5","A5",57,108.443583333333,-51.4435833333333
57,"A5","A6",57,28.8545444444445,28.1454555555555
57,"A5","A5",87,237.709411111111,-150.709411111111
57,"A5","A5",149,232.505711111111,-83.505711111111
57,"A5","A5",209,239.767161111111,-30.7671611111108
57,"A5","A5",267,323.943694444444,-56.9436944444444
57,"A5","A5",326,319.665833333333,6.33416666666665
57,"A5","A5",390,347.829844444444,42.1701555555556
57,"A5","A5",448,367.958327777778,80.0416722222219
57,"A6","A6",0,28.7876888888889,-28.7876888888889
57,"A6","A6",27,25.3348222222222,1.66517777777777
57,"A6","A1",57,38.4525888888889,18.5474111111111
57,"A6","A2",57,78.264672222222,-21.264672222222
57,"A6","A3",57,101.556022222222,-44.5560222222222
57,"A6","A4",57,56.8944777777777,0.105522222222341
57,"A6","A5",57,102.130511111111,-45.1305111111111
57,"A6","A6",57,35.4642222222222,21.5357777777778
57,"A6","A6",87,126.220177777778,-39.2201777777779
57,"A6","A6",149,202.304466666666,-53.3044666666665
57,"A6","A6",209,222.8886,-13.8885999999997
57,"A6","A6",267,214.010183333333,52.9898166666667
57,"A6","A6",326,299.225316666667,26.7746833333335
57,"A6","A6",390,337.052922222222,52.947077777778
57,"A6","A6",448,355.383161111111,92.6168388888887
87,"A1","A1",0,9.43530000000001,-9.43530000000001
87,"A1","A1",27,21.4462277777778,5.55377222222222
87,"A1","A1",57,27.5521444444445,29.4478555555555
87,"A1","A1",87,76.9720333333333,10.0279666666667
87,"A1","A2",87,96.4301666666667,-9.43016666666671
87,"A1","A3",87,185.5743,-98.5743
87,"A1","A4",87,131.910205555556,-44.9102055555556
87,"A1","A5",87,219.657083333333,-132.657083333333
87,"A1","A6",87,109.518577777778,-22.5185777777778
87,"A1","A1",149,195.234105555555,-46.2341055555553
87,"A1","A1",326,357.482761111111,-31.4827611111111
87,"A1","A1",390,363.734894444445,26.2651055555555
87,"A1","A1",448,323.8032,124.1968
87,"A2","A2",0,18.5326222222222,-18.5326222222222
87,"A2","A2",27,28.99955,-1.99955000000001
87,"A2","A2",57,78.7919277777778,-21.7919277777778
87,"A2","A1",87,85.7933611111111,1.20663888888888
87,"A2","A2",87,100.932994444444,-13.9329944444445
87,"A2","A3",87,164.016144444444,-77.0161444444444
87,"A2","A4",87,128.326427777778,-41.3264277777777
87,"A2","A5",87,230.698194444444,-143.698194444444
87,"A2","A6",87,125.291233333333,-38.2912333333333
87,"A2","A2",149,228.673077777777,-79.6730777777774
87,"A2","A2",209,266.766166666667,-57.7661666666666
87,"A2","A2",267,286.404622222222,-19.4046222222219
87,"A2","A2",326,335.286238888889,-9.28623888888859
87,"A2","A2",390,303.297544444444,86.7024555555557
87,"A2","A2",448,279.250233333333,168.749766666667
87,"A3","A3",0,20.35105,-20.35105
87,"A3","A3",27,29.5336611111111,-2.53366111111113
87,"A3","A3",57,129.929305555556,-72.9293055555556
87,"A3","A1",87,93.2273055555556,-6.22730555555556
87,"A3","A2",87,86.6281555555556,0.371844444444434
87,"A3","A3",87,176.593083333333,-89.5930833333333
87,"A3","A4",87,114.150238888889,-27.1502388888889
87,"A3","A5",87,251.3906,-164.3906
87,"A3","A6",87,110.571744444444,-23.5717444444445
87,"A3","A3",149,260.595916666667,-111.595916666667
87,"A3","A3",209,281.998633333333,-72.998633333333
87,"A3","A3",267,346.149638888889,-79.1496388888891
87,"A3","A3",326,348.547816666667,-22.5478166666666
87,"A3","A3",390,391.375083333333,-1.37508333333341
87,"A3","A3",448,368.734555555556,79.2654444444443
87,"A4","A4",0,17.0432,-17.0432
87,"A4","A4",27,64.4326888888889,-37.4326888888889
87,"A4","A4",57,79.8178666666667,-22.8178666666667
87,"A4","A1",87,87.2633888888889,-0.263388888888898
87,"A4","A2",87,78.4683055555556,8.53169444444444
87,"A4","A3",87,156.158688888889,-69.158688888889
87,"A4","A4",87,136.068816666667,-49.0688166666666
87,"A4","A5",87,207.636272222222,-120.636272222222
87,"A4","A6",87,143.870833333333,-56.8708333333334
87,"A4","A4",149,209.3622,-60.3621999999997
87,"A4","A4",267,244.423133333333,22.5768666666672
87,"A4","A4",326,212.23435,113.76565
87,"A4","A4",390,234.284116666667,155.715883333333
87,"A4","A4",448,325.020638888889,122.979361111111
87,"A5","A5",0,6.78508333333333,-6.78508333333333
87,"A5","A5",27,19.3349666666667,7.66503333333333
87,"A5","A5",57,125.613711111111,-68.6137111111111
87,"A5","A1",87,107.373544444445,-20.3735444444445
87,"A5","A2",87,100.344277777778,-13.3442777777777
87,"A5","A3",87,206.598961111111,-119.598961111111
87,"A5","A4",87,124.180127777778,-37.1801277777777
87,"A5","A5",87,250.894455555555,-163.894455555555
87,"A5","A6",87,133.652211111111,-46.652211111111
87,"A5","A5",149,243.030244444444,-94.0302444444443
87,"A5","A5",209,250.815883333333,-41.8158833333332
87,"A5","A5",267,337.121227777778,-70.1212277777776
87,"A5","A5",326,325.822272222223,0.17772777777742
87,"A5","A5",390,351.588472222222,38.4115277777778
87,"A5","A5",448,366.370133333333,81.6298666666668
87,"A6","A6",0,24.5234166666667,-24.5234166666667
87,"A6","A6",27,23.7625333333333,3.23746666666667
87,"A6","A6",57,36.44045,20.55955
87,"A6","A1",87,72.7377055555556,14.2622944444444
87,"A6","A2",87,78.3358944444444,8.66410555555559
87,"A6","A3",87,169.910061111111,-82.9100611111111
87,"A6","A4",87,118.513888888889,-31.5138888888889
87,"A6","A5",87,211.211822222222,-124.211822222222
87,"A6","A6",87,117.610027777778,-30.6100277777777
87,"A6","A6",149,206.023777777777,-57.0237777777774
87,"A6","A6",209,231.269466666667,-22.2694666666665
87,"A6","A6",267,210.271127777778,56.7288722222222
87,"A6","A6",326,301.423327777778,24.576672222222
87,"A6","A6",390,337.703883333333,52.2961166666668
87,"A6","A6",448,378.542161111111,69.4578388888892
149,"A1","A1",0,9.61622777777778,-9.61622777777778
149,"A1","A1",27,21.9891222222222,5.01087777777779
149,"A1","A1",57,28.5406555555556,28.4593444444444
149,"A1","A1",87,60.8896944444444,26.1103055555556
149,"A1","A1",149,231.024227777778,-82.0242277777776
149,"A1","A2",149,250.330216666667,-101.330216666667
149,"A1","A3",149,266.783116666667,-117.783116666667
149,"A1","A4",149,259.698744444444,-110.698744444444
149,"A1","A5",149,209.481205555555,-60.4812055555554
149,"A1","A6",149,242.445716666666,-93.4457166666664
149,"A1","A1",326,351.713494444444,-25.7134944444444
149,"A1","A1",390,368.068438888889,21.9315611111111
149,"A1","A1",448,333.911772222222,114.088227777778
149,"A2","A2",0,18.22315,-18.22315
149,"A2","A2",27,26.3784666666667,0.621533333333332
149,"A2","A2",57,70.3308944444444,-13.3308944444444
149,"A2","A2",87,80.2314944444444,6.76850555555556
149,"A2","A1",149,247.689177777778,-98.6891777777776
149,"A2","A2",149,241.206844444444,-92.2068444444442
149,"A2","A3",149,280.035238888889,-131.035238888889
149,"A2","A4",149,263.038433333334,-114.038433333334
149,"A2","A5",149,215.585988888889,-66.5859888888889
149,"A2","A6",149,259.699494444444,-110.699494444444
149,"A2","A2",209,298.644594444444,-89.6445944444442
149,"A2","A2",267,298.085522222222,-31.0855222222219
149,"A2","A2",326,319.938627777778,6.06137222222179
149,"A2","A2",390,313.054805555556,76.9451944444443
149,"A2","A2",448,281.495405555556,166.504594444444
149,"A3","A3",0,19.9538666666667,-19.9538666666667
149,"A3","A3",27,29.9508888888889,-2.95088888888892
149,"A3","A3",57,130.340961111111,-73.3409611111111
149,"A3","A3",87,186.795905555556,-99.7959055555556
149,"A3","A1",149,246.063705555555,-97.0637055555555
149,"A3","A2",149,249.383861111111,-100.383861111111
149,"A3","A3",149,266.236238888889,-117.236238888889
149,"A3","A4",149,283.488511111111,-134.488511111111
149,"A3","A5",149,231.325716666666,-82.3257166666664
149,"A3","A6",149,260.460027777778,-111.460027777778
149,"A3","A3",209,299.155955555555,-90.1559555555555
149,"A3","A3",267,349.072794444444,-82.0727944444443
149,"A3","A3",326,332.759738888889,-6.75973888888853
149,"A3","A3",390,396.024716666667,-6.02471666666656
149,"A3","A3",448,373.287672222222,74.7123277777779
149,"A4","A4",0,18.06825,-18.06825
149,"A4","A4",27,61.4289777777778,-34.4289777777778
149,"A4","A4",57,62.0505888888889,-5.0505888888889
149,"A4","A4",87,132.799155555556,-45.7991555555556
149,"A4","A1",149,228.94065,-79.9406499999999
149,"A4","A2",149,247.254516666667,-98.2545166666666
149,"A4","A3",149,269.816216666667,-120.816216666667
149,"A4","A4",149,250.038483333333,-101.038483333333
149,"A4","A5",149,186.201961111111,-37.201961111111
149,"A4","A6",149,246.292061111111,-97.292061111111
149,"A4","A4",267,274.580844444444,-7.58084444444449
149,"A4","A4",326,242.061816666666,83.9381833333335
149,"A4","A4",390,230.407011111111,159.592988888889
149,"A4","A4",448,326.3297,121.6703
149,"A5","A5",0,6.68671666666667,-6.68671666666667
149,"A5","A5",27,18.4907,8.50929999999999
149,"A5","A5",57,94.8841888888889,-37.8841888888889
149,"A5","A5",87,322.344188888889,-235.344188888889
149,"A5","A1",149,256.71585,-107.71585
