numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
4e3,4,63696.22848374458,0.22150401591944838,23.187467168205927,0.1613448544574434,70659.36829721463,0.2400838513430725
5e3,4,63548.560709191785,0.22102395802621205,23.1802637656386,0.16129156848231205,70685.1994332868,0.2401133484602318
4e3,6,60807.510215080336,0.21132192273034409,21.672094839368572,0.15093954589713088,67689.18092184143,0.2300561769039404
5e3,6,60824.54424488799,0.2114533186299646,21.681626804069584,0.15102836289200094,67756.18450305067,0.2302888097787856
4e3,8,59441.698467514914,0.20652465240288848,21.184579911717712,0.14762552666045695,66569.95788043698,0.22637240639600315
5e3,8,59481.80789914662,0.20661273179917272,21.17069279130656,0.14751003762580628,66520.45914547374,0.22618548134228858
4e3,10,58902.361310987275,0.2045200290131939,21.109753711180836,0.1470924321537027,66212.51407949765,0.22530572952707276
5e3,10,58818.807227582554,0.2041887923852055,21.092395263953517,0.14697723529187098,66151.9536525381,0.2251064768034885
4e3,12,58714.40101901795,0.20372510196087051,21.261907492478237,0.1482229375719128,66246.866409058,0.22576249104866383
5e3,12,58638.15389628157,0.2035107400954142,21.273463454409054,0.14827922572779503,66305.33911957938,0.2258778977288601
4e3,14,58753.756226511076,0.2038679317889148,21.55463995473693,0.15026086142712028,66659.25256343411,0.22730149700255547
5e3,14,58715.61413545919,0.20374969948868732,21.584717991650088,0.150452716490812,66715.05437194828,0.22747192064629587
4e3,16,59061.94577265594,0.2049210992165926,21.94088876278716,0.15298229884272632,67230.52560206948,0.22950646347569478
5e3,16,59105.77877326359,0.2049895198589871,21.93568991418383,0.15287320199116156,67227.7754508268,0.229373806448481
