"dayOmit","subjOmit","subjactual","yactual","yhat","resid"
0,"A1","A1",0,35.0252,-35.0252
0,"A1","A2",0,37.9912666666667,-37.9912666666667
0,"A1","A3",0,36.9967555555556,-36.9967555555556
0,"A1","A4",0,40.7368111111111,-40.7368111111111
0,"A1","A5",0,34.6195555555556,-34.6195555555556
0,"A1","A6",0,43.4958333333333,-43.4958333333333
0,"A1","A1",27,42.6103833333333,-15.6103833333333
0,"A1","A1",57,53.3883166666667,3.61168333333332
0,"A1","A1",87,77.0368611111111,9.96313888888886
0,"A1","A1",149,163.763344444444,-14.763344444444
0,"A1","A1",326,318.446605555555,7.55339444444485
0,"A1","A1",390,350.967772222222,39.0322277777776
0,"A1","A1",448,363.624538888889,84.3754611111111
0,"A2","A1",0,33.4426333333333,-33.4426333333333
0,"A2","A2",0,37.9913333333333,-37.9913333333333
0,"A2","A3",0,34.0316333333333,-34.0316333333333
0,"A2","A4",0,37.5532166666667,-37.5532166666667
0,"A2","A5",0,36.26505,-36.26505
0,"A2","A6",0,46.4135166666667,-46.4135166666667
0,"A2","A2",27,40.6288333333333,-13.6288333333333
0,"A2","A2",57,76.2627333333333,-19.2627333333333
0,"A2","A2",87,68.8311388888889,18.1688611111111
0,"A2","A2",149,220.693061111111,-71.6930611111107
0,"A2","A2",209,281.157727777777,-72.1577277777774
0,"A2","A2",267,281.517938888889,-14.5179388888886
0,"A2","A2",326,343.370933333333,-17.3709333333333
0,"A2","A2",390,349.393394444444,40.6066055555556
0,"A2","A2",448,349.926966666667,98.0730333333335
0,"A3","A1",0,35.7660333333333,-35.7660333333333
0,"A3","A2",0,40.5387166666667,-40.5387166666667
0,"A3","A3",0,35.3685666666667,-35.3685666666667
0,"A3","A4",0,47.5068611111111,-47.5068611111111
0,"A3","A5",0,37.5798,-37.5798
0,"A3","A6",0,52.0340944444444,-52.0340944444444
0,"A3","A3",27,41.6896111111111,-14.6896111111111
0,"A3","A3",57,122.846427777778,-65.8464277777778
0,"A3","A3",87,143.802216666667,-56.8022166666667
0,"A3","A3",149,172.048255555555,-23.048255555555
0,"A3","A3",209,176.154294444444,32.8457055555556
0,"A3","A3",267,236.174577777778,30.8254222222224
0,"A3","A3",326,215.868077777778,110.131922222222
0,"A3","A3",390,262.432927777778,127.567072222222
0,"A3","A3",448,379.544844444444,68.4551555555556
0,"A4","A1",0,36.7977333333333,-36.7977333333333
0,"A4","A2",0,42.0453222222222,-42.0453222222222
0,"A4","A3",0,35.5217333333333,-35.5217333333333
0,"A4","A4",0,42.4902777777778,-42.4902777777778
0,"A4","A5",0,42.0058166666667,-42.0058166666667
0,"A4","A6",0,52.3405888888889,-52.3405888888889
0,"A4","A4",27,62.2134722222222,-35.2134722222222
0,"A4","A4",57,62.1720055555555,-5.17200555555554
0,"A4","A4",87,92.0998833333333,-5.0998833333333
0,"A4","A4",149,174.411911111111,-25.4119111111109
0,"A4","A4",267,204.968444444444,62.0315555555557
0,"A4","A4",326,255.91785,70.0821500000002
0,"A4","A4",390,170.060472222222,219.939527777778
0,"A4","A4",448,392.6178,55.3822
0,"A5","A1",0,37.6474,-37.6474
0,"A5","A2",0,38.9358333333333,-38.9358333333333
0,"A5","A3",0,35.9155666666667,-35.9155666666667
0,"A5","A4",0,42.4954,-42.4954
0,"A5","A5",0,38.8133333333333,-38.8133333333333
0,"A5","A6",0,47.6825111111111,-47.6825111111111
0,"A5","A5",27,37.5713333333333,-10.5713333333333
0,"A5","A5",57,120.827316666667,-63.8273166666667
0,"A5","A5",87,191.926694444444,-104.926694444444
0,"A5","A5",149,180.164472222222,-31.1644722222222
0,"A5","A5",209,196.100166666667,12.8998333333335
0,"A5","A5",267,371.4243,-104.4243
0,"A5","A5",326,332.190566666667,-6.19056666666654
0,"A5","A5",390,345.321088888889,44.6789111111113
0,"A5","A5",448,353.583066666667,94.4169333333332
0,"A6","A1",0,34.7608333333333,-34.7608333333333
0,"A6","A2",0,40.3336666666667,-40.3336666666667
0,"A6","A3",0,34.3368333333333,-34.3368333333333
0,"A6","A4",0,44.7402111111111,-44.7402111111111
0,"A6","A5",0,39.3004,-39.3004
0,"A6","A6",0,48.5711777777778,-48.5711777777778
0,"A6","A6",27,46.5487333333333,-19.5487333333333
0,"A6","A6",57,39.4492,17.5508
0,"A6","A6",87,233.871644444445,-146.871644444445
0,"A6","A6",149,171.615066666666,-22.615066666666
0,"A6","A6",209,232.814594444444,-23.8145944444441
0,"A6","A6",267,284.888733333333,-17.8887333333333
0,"A6","A6",326,320.694944444444,5.30505555555567
0,"A6","A6",390,377.734238888889,12.2657611111111
0,"A6","A6",448,391.497888888889,56.502111111111
27,"A1","A1",0,15.0291722222222,-15.0291722222222
27,"A1","A1",27,47.8787888888889,-20.8787888888889
27,"A1","A2",27,55.4912611111111,-28.4912611111111
27,"A1","A3",27,54.9549277777778,-27.9549277777778
27,"A1","A4",27,60.6406888888889,-33.6406888888889
27,"A1","A5",27,16.46465,10.53535
27,"A1","A6",27,31.8654833333333,-4.86548333333333
27,"A1","A1",57,60.5760777777778,-3.57607777777777
27,"A1","A1",87,77.1041722222222,9.89582777777778
27,"A1","A1",149,167.154783333333,-18.154783333333
27,"A1","A1",326,311.11345,14.8865499999996
27,"A1","A1",390,340.50935,49.49065
27,"A1","A1",448,359.108133333333,88.8918666666667
27,"A2","A2",0,9.45965,-9.45965
27,"A2","A1",27,55.6906944444444,-28.6906944444444
27,"A2","A2",27,48.1712,-21.1712
27,"A2","A3",27,55.1121888888889,-28.1121888888889
27,"A2","A4",27,59.0045944444444,-32.0045944444444
27,"A2","A5",27,17.3877166666667,9.61228333333332
27,"A2","A6",27,19.4701333333333,7.52986666666666
27,"A2","A2",57,77.9035166666666,-20.9035166666666
27,"A2","A2",87,71.4746333333333,15.5253666666667
27,"A2","A2",149,215.501077777777,-66.5010777777773
27,"A2","A2",209,284.8909,-75.8908999999999
27,"A2","A2",267,287.985116666667,-20.9851166666666
27,"A2","A2",326,342.908316666667,-16.9083166666666
27,"A2","A2",390,348.829044444444,41.1709555555557
27,"A2","A2",448,353.197694444444,94.8023055555557
27,"A3","A3",0,40.5963333333333,-40.5963333333333
27,"A3","A1",27,49.7734833333333,-22.7734833333333
27,"A3","A2",27,59.5325666666667,-32.5325666666667
27,"A3","A3",27,50.36175,-23.36175
27,"A3","A4",27,63.4405166666667,-36.4405166666667
27,"A3","A5",27,38.0136666666667,-11.0136666666667
27,"A3","A6",27,33.8580222222222,-6.85802222222222
27,"A3","A3",57,118.3052,-61.3052
27,"A3","A3",87,119.498205555556,-32.4982055555556
27,"A3","A3",149,168.67525,-19.6752499999996
27,"A3","A3",209,174.184272222222,34.8157277777779
27,"A3","A3",267,238.583555555556,28.4164444444444
27,"A3","A3",326,220.70375,105.29625
27,"A3","A3",390,268.948938888889,121.051061111111
27,"A3","A3",448,378.357255555556,69.6427444444444
27,"A4","A4",0,14.5146444444444,-14.5146444444444
27,"A4","A1",27,56.0776666666667,-29.0776666666667
27,"A4","A2",27,39.0517944444444,-12.0517944444444
27,"A4","A3",27,56.5341666666667,-29.5341666666667
27,"A4","A4",27,63.9806333333333,-36.9806333333333
