"days","degdays","subj","taxa","counts","fracBySubjDay"
0,0,"A1","Actinomycetales",8037,0.29703958310234
0,0,"A1","Bacillales",1923,0.071072180951325
0,0,"A1","Bacteroidales",2304,0.0851535646967513
0,0,"A1","Clostridiales",6179,0.228369737960602
0,0,"A1","Enterobacteriales",88,0.00325239309605647
0,0,"A1","Flavobacteriales",763,0.0281997265033078
0,0,"A1","Lactobacillales",3153,0.116531766271205
0,0,"A1","Pseudomonadales",1359,0.0502272979265994
0,0,"A1","Rare",3033,0.112096684776583
0,0,"A1","Xanthomonadales",218,0.00805706471523081
0,0,"A2","Actinomycetales",13075,0.262407931442792
0,0,"A2","Bacillales",3114,0.0624962369799506
0,0,"A2","Bacteroidales",2355,0.0472635318200975
0,0,"A2","Clostridiales",10711,0.214963774660325
0,0,"A2","Enterobacteriales",92,0.00184638850422462
0,0,"A2","Flavobacteriales",5781,0.116021434162201
0,0,"A2","Lactobacillales",3379,0.0678146386497281
0,0,"A2","Pseudomonadales",4461,0.0895297730146306
0,0,"A2","Rare",6326,0.126959279105706
0,0,"A2","Xanthomonadales",533,0.0106970116603448
0,0,"A3","Actinomycetales",29445,0.322642501807981
0,0,"A3","Bacillales",8222,0.0900922618395389
0,0,"A3","Bacteroidales",5409,0.0592689180600907
0,0,"A3","Clostridiales",21736,0.238171418553177
0,0,"A3","Enterobacteriales",273,0.00299138743398128
0,0,"A3","Flavobacteriales",2410,0.0264074861388091
0,0,"A3","Lactobacillales",10612,0.116280598715785
0,0,"A3","Pseudomonadales",4197,0.0459884727487892
0,0,"A3","Rare",8288,0.0908154544059959
0,0,"A3","Xanthomonadales",670,0.0073415002958515
0,0,"A4","Actinomycetales",17903,0.338296706411443
0,0,"A4","Bacillales",4922,0.0930065569433684
0,0,"A4","Bacteroidales",3193,0.0603352166436764
0,0,"A4","Clostridiales",9878,0.186655580960299
0,0,"A4","Enterobacteriales",207,0.00391149071257157
0,0,"A4","Flavobacteriales",2148,0.0405888021768296
0,0,"A4","Lactobacillales",5224,0.0987131762438351
0,0,"A4","Pseudomonadales",2815,0.0531924944728936
0,0,"A4","Rare",5959,0.112601802687024
0,0,"A4","Xanthomonadales",672,0.0126981727480584
0,0,"A5","Actinomycetales",22735,0.300294548864732
0,0,"A5","Bacillales",5557,0.0733994637361476
0,0,"A5","Bacteroidales",6007,0.0793432749078709
0,0,"A5","Clostridiales",13292,0.175566973543436
0,0,"A5","Enterobacteriales",360,0.00475504893737865
0,0,"A5","Flavobacteriales",4767,0.0629647730124556
0,0,"A5","Lactobacillales",8038,0.106169675996249
0,0,"A5","Pseudomonadales",5042,0.0665971020618421
0,0,"A5","Rare",8806,0.11631378039599
0,0,"A5","Xanthomonadales",1105,0.0145953585438983
0,0,"A6","Actinomycetales",14626,0.250913520097442
0,0,"A6","Bacillales",4536,0.0778164725257759
0,0,"A6","Bacteroidales",478,0.00820023674323652
0,0,"A6","Clostridiales",7388,0.126743408073287
0,0,"A6","Enterobacteriales",12221,0.209655006776346
0,0,"A6","Flavobacteriales",4392,0.0753461083186084
0,0,"A6","Lactobacillales",3798,0.0651558559640425
0,0,"A6","Pseudomonadales",5009,0.0859309327340413
0,0,"A6","Rare",4897,0.0840095383506888
0,0,"A6","Xanthomonadales",946,0.0162289204165309
1,27,"A1","Actinomycetales",14886,0.338787864994652
1,27,"A1","Bacillales",3196,0.0727372038507931
1,27,"A1","Bacteroidales",1745,0.0397141491613373
1,27,"A1","Clostridiales",14266,0.324677393659391
1,27,"A1","Enterobacteriales",90,0.00204829422608616
1,27,"A1","Flavobacteriales",857,0.0195043127972871
1,27,"A1","Lactobacillales",4341,0.098796058171556
1,27,"A1","Pseudomonadales",972,0.0221215776417306
1,27,"A1","Rare",3359,0.0764468922824825
1,27,"A1","Xanthomonadales",227,0.00516625321468399
1,27,"A2","Actinomycetales",18070,0.407854643945379
1,27,"A2","Bacillales",6897,0.155670917503668
1,27,"A2","Bacteroidales",762,0.017198961742467
1,27,"A2","Clostridiales",7934,0.179076853628259
1,27,"A2","Enterobacteriales",79,0.00178309445886469
1,27,"A2","Flavobacteriales",1177,0.0265658503554904
1,27,"A2","Lactobacillales",3932,0.0887484482564045
1,27,"A2","Pseudomonadales",2415,0.0545085204830155
1,27,"A2","Rare",2703,0.0610089154722943
1,27,"A2","Xanthomonadales",336,0.00758379415415867
1,27,"A3","Actinomycetales",5446,0.310207336523126
1,27,"A3","Bacillales",1339,0.0762702210070631
1,27,"A3","Bacteroidales",747,0.0425495557074504
1,27,"A3","Clostridiales",5984,0.340852130325815
1,27,"A3","Enterobacteriales",51,0.00290498974709501
1,27,"A3","Flavobacteriales",296,0.0168603326498063
1,27,"A3","Lactobacillales",1935,0.110218728639781
1,27,"A3","Pseudomonadales",466,0.0265436318067897
1,27,"A3","Rare",1181,0.0672704488493962
1,27,"A3","Xanthomonadales",111,0.00632262474367738
1,27,"A4","Actinomycetales",18260,0.29467297109752
1,27,"A4","Bacillales",6445,0.104006971452547
1,27,"A4","Bacteroidales",312,0.0050349379508448
1,27,"A4","Clostridiales",12092,0.195136120838511
1,27,"A4","Enterobacteriales",5369,0.0866428905707877
1,27,"A4","Flavobacteriales",1287,0.0207691190472348
1,27,"A4","Lactobacillales",7457,0.120338244549518
1,27,"A4","Pseudomonadales",8026,0.129520551261155
1,27,"A4","Rare",2403,0.0387787047944874
1,27,"A4","Xanthomonadales",316,0.0050994884373941
1,27,"A5","Actinomycetales",22805,0.388785652181325
1,27,"A5","Bacillales",5048,0.086059634826193
1,27,"A5","Bacteroidales",2563,0.0436946996948361
1,27,"A5","Clostridiales",12729,0.217007347801626
