"days","degdays","subj","taxa","counts","fracBySubjDay"
0,0,"A1","Actinobacteria",8321,0.299015380192612
0,0,"A1","Bacteroidetes",3643,0.130911312347276
0,0,"A1","Chloroflexi",653,0.0234655742417709
0,0,"A1","Cyanobacteria",130,0.00467155383067414
0,0,"A1","Firmicutes",11817,0.424644243208279
0,0,"A1","Fusobacteria",0,0
0,0,"A1","Proteobacteria",2945,0.105828661779503
0,0,"A1","Rare",267,0.00959465286761535
0,0,"A1","Tenericutes",7,0.000251545206267069
0,0,"A1","TM7",44,0.00158114129653586
0,0,"A1","Verrucomicrobia",1,3.59350294667242e-05
0,0,"A2","Actinobacteria",13450,0.262490241998439
0,0,"A2","Bacteroidetes",10520,0.205308352849336
0,0,"A2","Chloroflexi",506,0.00987509758001561
0,0,"A2","Cyanobacteria",28,0.000546448087431694
0,0,"A2","Firmicutes",18090,0.353044496487119
0,0,"A2","Fusobacteria",15,0.000292740046838407
0,0,"A2","Proteobacteria",8273,0.161455893832943
0,0,"A2","Rare",118,0.00230288836846214
0,0,"A2","Tenericutes",183,0.00357142857142857
0,0,"A2","TM7",41,0.00080015612802498
0,0,"A2","Verrucomicrobia",16,0.000312256049960968
0,0,"A3","Actinobacteria",30685,0.329765397470205
0,0,"A3","Bacteroidetes",9181,0.0986663227692341
0,0,"A3","Chloroflexi",1477,0.0158730158730159
0,0,"A3","Cyanobacteria",44,0.000472858969812253
0,0,"A3","Firmicutes",42384,0.455492149466422
0,0,"A3","Fusobacteria",13,0.000139708331989984
0,0,"A3","Proteobacteria",8642,0.092873800389034
0,0,"A3","Rare",424,0.00455664098182717
0,0,"A3","Tenericutes",49,0.000526592943654555
0,0,"A3","TM7",97,0.00104243909254065
0,0,"A3","Verrucomicrobia",55,0.000591073712265317
0,0,"A4","Actinobacteria",18448,0.338862254550798
0,0,"A4","Bacteroidetes",7143,0.131206259987877
0,0,"A4","Chloroflexi",1400,0.0257159126393711
0,0,"A4","Cyanobacteria",22,0.000404107198618688
0,0,"A4","Firmicutes",20748,0.381109825315479
