days,degdays,subj,taxa,counts,fracBySubjDay
0,0,A1,Actinobacteria,8321,0.29901538019261176
0,0,A1,Bacteroidetes,3643,0.13091131234727613
0,0,A1,Chloroflexi,653,0.023465574241770877
0,0,A1,Cyanobacteria,130,0.004671553830674141
0,0,A1,Firmicutes,11817,0.4246442432082794
0,0,A1,Fusobacteria,0,0
0,0,A1,Proteobacteria,2945,0.10582866177950266
0,0,A1,Rare,267,0.009594652867615351
0,0,A1,Tenericutes,7,2.515452062670691e-4
0,0,A1,TM7,44,0.0015811412965358632
0,0,A1,Verrucomicrobia,1,3.593502946672416e-5
0,0,A2,Actinobacteria,13450,0.26249024199843873
0,0,A2,Bacteroidetes,10520,0.20530835284933646
0,0,A2,Chloroflexi,506,0.009875097580015613
0,0,A2,Cyanobacteria,28,5.46448087431694e-4
0,0,A2,Firmicutes,18090,0.35304449648711944
0,0,A2,Fusobacteria,15,2.927400468384075e-4
0,0,A2,Proteobacteria,8273,0.161455893832943
0,0,A2,Rare,118,0.002302888368462139
0,0,A2,Tenericutes,183,0.0035714285714285713
0,0,A2,TM7,41,8.001561280249805e-4
0,0,A2,Verrucomicrobia,16,3.12256049960968e-4
0,0,A3,Actinobacteria,30685,0.3297653974702045
0,0,A3,Bacteroidetes,9181,0.09866632276923408
0,0,A3,Chloroflexi,1477,0.015873015873015872
0,0,A3,Cyanobacteria,44,4.728589698122535e-4
0,0,A3,Firmicutes,42384,0.45549214946642164
0,0,A3,Fusobacteria,13,1.3970833198998398e-4
0,0,A3,Proteobacteria,8642,0.09287380038903396
0,0,A3,Rare,424,0.00455664098182717
0,0,A3,Tenericutes,49,5.26592943654555e-4
0,0,A3,TM7,97,0.0010424390925406497
0,0,A3,Verrucomicrobia,55,5.910737122653168e-4
0,0,A4,Actinobacteria,18448,0.3388622545507981
0,0,A4,Bacteroidetes,7143,0.13120625998787677
0,0,A4,Chloroflexi,1400,0.025715912639371064
0,0,A4,Cyanobacteria,22,4.0410719861868813e-4
0,0,A4,Firmicutes,20748,0.38110982531547916
0,0,A4,Fusobacteria,14,2.571591263937106e-4
0,0,A4,Proteobacteria,6345,0.11654818978343529
0,0,A4,Rare,193,0.0035451222424275823
0,0,A4,Tenericutes,38,6.980033430686431e-4
0,0,A4,TM7,59,0.001083742032659209
0,0,A4,Verrucomicrobia,31,5.694237798717878e-4
0,0,A5,Actinobacteria,23320,0.29508902020828326
0,0,A5,Bacteroidetes,14330,0.18133043137155655
0,0,A5,Chloroflexi,2050,0.02594050134764068
0,0,A5,Cyanobacteria,55,6.959646703025549e-4
0,0,A5,Firmicutes,27990,0.35418274766851837
0,0,A5,Fusobacteria,12,1.5184683715692107e-4
0,0,A5,Proteobacteria,10514,0.13304313715565566
0,0,A5,Rare,548,0.006934338896832728
0,0,A5,Tenericutes,62,7.845419919774255e-4
0,0,A5,TM7,91,0.001151505181773318
0,0,A5,Verrucomicrobia,55,6.959646703025549e-4
0,0,A6,Actinobacteria,14904,0.2516844824965804
0,0,A6,Bacteroidetes,6318,0.10669233497137647
0,0,A6,Chloroflexi,523,0.008831923265278551
0,0,A6,Cyanobacteria,48,8.105780434672475e-4
0,0,A6,Firmicutes,16451,0.2778087373558269
0,0,A6,Fusobacteria,15,2.5330563858351484e-4
0,0,A6,Proteobacteria,20606,0.3479743992434605
0,0,A6,Rare,182,0.003073441748146647
0,0,A6,Tenericutes,98,0.001654930172078964
0,0,A6,TM7,42,7.092557880338416e-4
0,0,A6,Verrucomicrobia,30,5.066112771670297e-4
1,27,A1,Actinobacteria,15457,0.3456240776351684
1,27,A1,Bacteroidetes,3038,0.06793077232681902
1,27,A1,Chloroflexi,633,0.014154107598050176
1,27,A1,Cyanobacteria,31,6.931711461920307e-4
1,27,A1,Firmicutes,22906,0.512186395957247
1,27,A1,Fusobacteria,8,1.788828764366531e-4
1,27,A1,Proteobacteria,2505,0.056012700684227
1,27,A1,Rare,105,0.002347837753231072
1,27,A1,Tenericutes,17,3.8012611242788785e-4
1,27,A1,TM7,10,2.2360359554581636e-4
1,27,A1,Verrucomicrobia,12,2.6832431465497966e-4
1,27,A2,Actinobacteria,18278,0.4074272212562971
1,27,A2,Bacteroidetes,2495,0.0556149971022246
1,27,A2,Chloroflexi,682,0.015202175560608088
1,27,A2,Cyanobacteria,10,2.2290580000891623e-4
1,27,A2,Firmicutes,19495,0.4345548571173822
1,27,A2,Fusobacteria,0,0
1,27,A2,Proteobacteria,3738,0.08332218804333288
1,27,A2,Rare,100,0.0022290580000891625
1,27,A2,Tenericutes,30,6.687174000267487e-4
1,27,A2,TM7,26,5.795550800231822e-4
1,27,A2,Verrucomicrobia,8,1.7832464000713298e-4
1,27,A3,Actinobacteria,5666,0.31547884187082403
1,27,A3,Bacteroidetes,1281,0.07132516703786192
1,27,A3,Chloroflexi,191,0.010634743875278397
1,27,A3,Cyanobacteria,13,7.238307349665924e-4
1,27,A3,Firmicutes,9671,0.5384743875278396
1,27,A3,Fusobacteria,3,1.6703786191536748e-4
1,27,A3,Proteobacteria,1065,0.05929844097995546
1,27,A3,Rare,46,0.0025612472160356347
1,27,A3,Tenericutes,11,6.124721603563474e-4
1,27,A3,TM7,7,3.8975501113585747e-4
1,27,A3,Verrucomicrobia,6,3.3407572383073496e-4
1,27,A4,Actinobacteria,18424,0.2953605437814614
1,27,A4,Bacteroidetes,1986,0.03183814806502293
1,27,A4,Chloroflexi,283,0.004536855942800347
1,27,A4,Cyanobacteria,7,1.1221905158870114e-4
1,27,A4,Firmicutes,26692,0.42790727500080156
1,27,A4,Fusobacteria,1,1.6031293084100164e-5
1,27,A4,Proteobacteria,14899,0.23885023566000835
1,27,A4,Rare,64,0.0010260027573824105
1,27,A4,Tenericutes,0,0
1,27,A4,TM7,20,3.2062586168200326e-4
1,27,A4,Verrucomicrobia,2,3.206258616820033e-5
1,27,A5,Actinobacteria,23211,0.3847084562601518
1,27,A5,Bacteroidetes,6050,0.10027513508138032
1,27,A5,Chloroflexi,1229,0.020369940663639077
1,27,A5,Cyanobacteria,25,4.1436006231975337e-4
1,27,A5,Firmicutes,24155,0.4003546922133457
1,27,A5,Fusobacteria,13,2.1546723240627175e-4
1,27,A5,Proteobacteria,5340,0.08850730931149932
1,27,A5,Rare,241,0.003994431000762423
1,27,A5,Tenericutes,21,3.4806245234859283e-4
1,27,A5,TM7,24,3.9778565982696325e-4
1,27,A5,Verrucomicrobia,25,4.1436006231975337e-4
1,27,A6,Actinobacteria,17513,0.42026829209762184
1,27,A6,Bacteroidetes,2918,0.07002471742938735
1,27,A6,Chloroflexi,388,0.009311031652708118
1,27,A6,Cyanobacteria,3,7.199251277867102e-5
1,27,A6,Firmicutes,13834,0.3319814739267116
1,27,A6,Fusobacteria,2,4.7995008519114014e-5
1,27,A6,Proteobacteria,6852,0.1644308991864846
1,27,A6,Rare,87,0.0020877828705814596
1,27,A6,Tenericutes,46,0.0011038851959396224
1,27,A6,TM7,19,4.5595258093158314e-4
1,27,A6,Verrucomicrobia,9,2.1597753833601306e-4
2,57,A1,Actinobacteria,16118,0.27134223329573576
2,57,A1,Bacteroidetes,3958,0.06663187488426121
2,57,A1,Chloroflexi,1080,0.018181512095755963
2,57,A1,Cyanobacteria,29,4.8820726923789163e-4
2,57,A1,Firmicutes,35018,0.5895186949714651
2,57,A1,Fusobacteria,2,3.3669466843992526e-5
2,57,A1,Proteobacteria,2799,0.04712041884816754
2,57,A1,Rare,218,0.0036699718859951854
2,57,A1,Tenericutes,52,8.754061379438057e-4
2,57,A1,TM7,71,0.0011952660729617347
2,57,A1,Verrucomicrobia,56,9.427450716317907e-4
2,57,A2,Actinobacteria,21347,0.43781533286845237
2,57,A2,Bacteroidetes,499,0.010234217974486239
2,57,A2,Chloroflexi,600,0.012305672915213913
2,57,A2,Cyanobacteria,34,6.973214651954551e-4
2,57,A2,Firmicutes,22602,0.4635546987161081
2,57,A2,Fusobacteria,0,0
2,57,A2,Proteobacteria,3625,0.07434677386275072
2,57,A2,Rare,43,8.819065589236638e-4
2,57,A2,Tenericutes,7,1.4356618401082898e-4
2,57,A2,TM7,0,0
2,57,A2,Verrucomicrobia,1,2.0509454858689857e-5
2,57,A3,Actinobacteria,11288,0.2973343167211042
2,57,A3,Bacteroidetes,204,0.005373511747971763
2,57,A3,Chloroflexi,703,0.018517542935412495
2,57,A3,Cyanobacteria,13,3.4242967021388683e-4
2,57,A3,Firmicutes,24761,0.652223158782004
2,57,A3,Fusobacteria,0,0
2,57,A3,Proteobacteria,951,0.025050047413338952
2,57,A3,Rare,35,9.219260351912338e-4
2,57,A3,Tenericutes,3,7.902223158782004e-5
2,57,A3,TM7,6,1.5804446317564007e-4
2,57,A3,Verrucomicrobia,0,0
2,57,A4,Actinobacteria,19593,0.2521848815208577
2,57,A4,Bacteroidetes,3429,0.044135250279948
2,57,A4,Chloroflexi,346,0.004453425662543601
2,57,A4,Cyanobacteria,13,1.6732524165626248e-4
2,57,A4,Firmicutes,36214,0.46611663856460683
2,57,A4,Fusobacteria,3,3.861351730529134e-5
2,57,A4,Proteobacteria,17942,0.2309345758305124
2,57,A4,Rare,101,0.0012999884159448085
2,57,A4,Tenericutes,3,3.861351730529134e-5
2,57,A4,TM7,39,5.019757249687874e-4
2,57,A4,Verrucomicrobia,10,1.2871172435097113e-4
2,57,A5,Actinobacteria,18746,0.41614313938775055
2,57,A5,Bacteroidetes,308,0.006837303261038471
2,57,A5,Chloroflexi,1195,0.026527848691366793
2,57,A5,Cyanobacteria,37,8.21364352787089e-4
2,57,A5,Firmicutes,21751,0.4828512442559993
2,57,A5,Fusobacteria,1,2.2199036561813217e-5
2,57,A5,Proteobacteria,2960,0.06570914822296713
2,57,A5,Rare,27,5.993739871689569e-4
2,57,A5,Tenericutes,0,0
2,57,A5,TM7,12,2.6638843874175863e-4
2,57,A5,Verrucomicrobia,10,2.2199036561813219e-4
2,57,A6,Actinobacteria,12391,0.3796262254901961
